"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","class","order","suborder","infraorder","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","temp_id","yearRecorded","protectedArea","IUCN_CAT","OECM","protectedAreaType","GOV_TYPE","OWNER_E","IUCN_Categ","decimalLatitude","decimalLongitude"
Acer circinatum,Pursh,48258,Plantae,Tracheophyta,Magnoliopsida,Sapindales,,,Sapindaceae,Acer,,Acer circinatum,,species,iNaturalist,Observations,173115719,,https://www.inaturalist.org/observations/173115719,Noland Martin,,,2023-07-15,2023,7,15,Human Observation,,,,British Columbia,Canada,CA,8,,,,,,,,present,,,,,native,S5 (2015),,,,,,,,693,2023,Stawamus Chief Protected Area,III,No,Protected Area,Sub-national Government,Government of British Columbia,III,49.674847367,-123.1558923888
Betula occidentalis,Hook.,75764,Plantae,Tracheophyta,Magnoliopsida,Fagales,,,Betulaceae,Betula,,Betula occidentalis,,species,iNaturalist,Observations,173115931,,https://www.inaturalist.org/observations/173115931,Noland Martin,,,2023-07-15,2023,7,15,Human Observation,,,,British Columbia,Canada,CA,1,,,,,,,,present,,,,,native,S5 (2019),,,,,,,,9802,2023,Stawamus Chief Protected Area,III,No,Protected Area,Sub-national Government,Government of British Columbia,III,49.6749279227,-123.1557968926
Corallorhiza mertensiana,Bong,49444,Plantae,Tracheophyta,Liliopsida,Asparagales,,,Orchidaceae,Corallorhiza,,Corallorhiza mertensiana,,species,iNaturalist,Observations,231329333,,https://www.inaturalist.org/observations/231329333,Eva van Emden,,,2024-07-23,2024,7,23,Human Observation,,,,British Columbia,Canada,CA,28,,,,,,,,present,,,,,native,S5 (2015),,,,,,,,15226,2024,Stawamus Chief Protected Area,III,No,Protected Area,Sub-national Government,Government of British Columbia,III,49.6735277778,-123.1467361111
Corallorhiza mertensiana,Bong,49444,Plantae,Tracheophyta,Liliopsida,Asparagales,,,Orchidaceae,Corallorhiza,,Corallorhiza mertensiana,,species,iNaturalist,Observations,6033002,,https://www.inaturalist.org/observations/6033002,judith holm,,,2014-06-17,2014,6,17,Human Observation,,,,British Columbia,Canada,CA,85,,,,,,,,present,,,,,native,S5 (2015),,,,,,,,15283,2014,Stawamus Chief Protected Area,III,No,Protected Area,Sub-national Government,Government of British Columbia,III,49.674005,-123.149958
Gaultheria shallon,Pursh,48441,Plantae,Tracheophyta,Magnoliopsida,Ericales,,,Ericaceae,Gaultheria,,Gaultheria shallon,,species,iNaturalist,Observations,61171528,,https://www.inaturalist.org/observations/61171528,Kathy,,,2020-08-08,2020,8,8,HUMAN_OBSERVATION,,,,British Columbia,Canada,CA,4,,,,,,,,present,,,,,native,S5 (2015),,L,,,,,,23235,2020,Stawamus Chief Protected Area,III,No,Protected Area,Sub-national Government,Government of British Columbia,III,49.6741,-123.150025
Gaultheria shallon,Pursh,48441,Plantae,Tracheophyta,Magnoliopsida,Ericales,,,Ericaceae,Gaultheria,,Gaultheria shallon,,species,iNaturalist,Observations,61171528,,https://www.inaturalist.org/observations/61171528,Kathy,,,2020-08-08,2020,8,8,Human Observation,,,,British Columbia,Canada,CA,4,,,,,,,,present,,,,,native,S5 (2015),,,,,,,,24003,2020,Stawamus Chief Protected Area,III,No,Protected Area,Sub-national Government,Government of British Columbia,III,49.6741,-123.150025
Gaultheria shallon,Pursh,48441,Plantae,Tracheophyta,Magnoliopsida,Ericales,,,Ericaceae,Gaultheria,,Gaultheria shallon,,species,iNaturalist,Observations,217178250,,https://www.inaturalist.org/observations/217178250,osablanca,,,2024-05-20,2024,5,20,Human Observation,,,,British Columbia,Canada,CA,,,,,,,,,present,,,,,native,S5 (2015),,,,,,,,24405,2024,Stawamus Chief Protected Area,III,No,Protected Area,Sub-national Government,Government of British Columbia,III,49.6740666667,-123.1500694444
Goodyera oblongifolia,Raf.,50719,Plantae,Tracheophyta,Liliopsida,Asparagales,,,Orchidaceae,Goodyera,,Goodyera oblongifolia,,species,iNaturalist,Observations,6160897,,https://www.inaturalist.org/observations/6160897,judith holm,,,2014-06-03,2014,6,3,Human Observation,,,,British Columbia,Canada,CA,85,,,,,,,,present,,,,,native,S5 (2015),,,,,,,,25858,2014,Stawamus Chief Protected Area,III,No,Protected Area,Sub-national Government,Government of British Columbia,III,49.673949,-123.149765
Monotropa hypopitys,L.,59986,Plantae,Tracheophyta,Magnoliopsida,Ericales,,,Ericaceae,Monotropa,,Monotropa hypopitys,,species,iNaturalist,Observations,129771227,,https://www.inaturalist.org/observations/129771227,Tiffany Brunke,,,2022-07-13,2022,7,13,Human Observation,,,,British Columbia,Canada,CA,4,,,,,,,,present,,,,,native,S3S4 (2001),,,,,,,,37053,2022,Stawamus Chief Protected Area,III,No,Protected Area,Sub-national Government,Government of British Columbia,III,49.672845,-123.1417528333
Pteridium aquilinum var. pubescens,(L.) Kuhn,52684,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,,,Dennstaedtiaceae,Pteridium,,Pteridium aquilinum,pubescens,varietas,iNaturalist,Observations,217836557,,https://www.inaturalist.org/observations/217836557,athall,,,2024-05-23,2024,5,23,Human Observation,,,,British Columbia,Canada,CA,4,,,,,,,,present,,,,,native,S5 (2000),,,,,,,,48326,2024,Stawamus Chief Protected Area,III,No,Protected Area,Sub-national Government,Government of British Columbia,III,49.6740833333,-123.1501305
Sambucus racemosa var. arborescens,L.,1257067,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,,,Viburnaceae,Sambucus,,Sambucus racemosa,arborescens,varietas,iNaturalist,Observations,110708245,,https://www.inaturalist.org/observations/110708245,John Martin,,,2022-04-06,2022,4,6,Human Observation,,,,British Columbia,Canada,CA,,,,,,,,,present,,,,,native,S5 (2000),,,,,,,,54758,2022,Stawamus Chief Protected Area,III,No,Protected Area,Sub-national Government,Government of British Columbia,III,49.6748769933,-123.1555640367
Struthiopteris spicant,(L.) F.W. Weiss,774894,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,,,Blechnaceae,Struthiopteris,,Struthiopteris spicant,,species,iNaturalist,Observations,26274231,,https://www.inaturalist.org/observations/26274231,Lena Dietz Chiasson,,,2019-05-30,2019,5,30,HUMAN_OBSERVATION,,,,British Columbia,Canada,CA,,,,,,,,,present,,,,,native,S5 (2015),,Lena Dietz Chiasson,,,,,,58521,2019,Stawamus Chief Protected Area,III,No,Protected Area,Sub-national Government,Government of British Columbia,III,49.674856,-123.155289
Struthiopteris spicant,(L.) F.W. Weiss,774894,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,,,Blechnaceae,Struthiopteris,,Struthiopteris spicant,,species,iNaturalist,Observations,26274231,,https://www.inaturalist.org/observations/26274231,Lena Dietz Chiasson,,,2019-05-30,2019,5,30,Human Observation,,,,British Columbia,Canada,CA,,,,,,,,,present,,,,,native,S5 (2015),,,,,,,,58921,2019,Stawamus Chief Protected Area,III,No,Protected Area,Sub-national Government,Government of British Columbia,III,49.6748559671,-123.1552890594
Thuja plicata,Donn ex D. Don,48252,Plantae,Tracheophyta,Pinopsida,Pinales,,,Cupressaceae,Thuja,,Thuja plicata,,species,iNaturalist,Observations,173115633,,https://www.inaturalist.org/observations/173115633,Noland Martin,,,2023-07-15,2023,7,15,Human Observation,,,,British Columbia,Canada,CA,8,,,,,,,,present,,,,,native,S5 (2015),,,,,,,,60758,2023,Stawamus Chief Protected Area,III,No,Protected Area,Sub-national Government,Government of British Columbia,III,49.6749347076,-123.1558270025
Tsuga heterophylla,(Raf.) Sarg.,48254,Plantae,Tracheophyta,Pinopsida,Pinales,,,Pinaceae,Tsuga,,Tsuga heterophylla,,species,iNaturalist,Observations,147504367,,https://www.inaturalist.org/observations/147504367,Steve Ansell,,,2010-05-30,2010,5,30,Human Observation,,,,British Columbia,Canada,CA,15,,,,,,,,present,,,,,native,S5 (2015),,,,,,,,62479,2010,Stawamus Chief Protected Area,III,No,Protected Area,Sub-national Government,Government of British Columbia,III,49.6740388991,-123.150402327
Vaccinium parvifolium,Sm.,48354,Plantae,Tracheophyta,Magnoliopsida,Ericales,,,Ericaceae,Vaccinium,,Vaccinium parvifolium,,species,iNaturalist,Observations,226573513,,https://www.inaturalist.org/observations/226573513,Paolo Pietropaolo,,,2024-06-29,2024,6,29,Human Observation,,,,British Columbia,Canada,CA,23,,,,,,,,present,,,,,native,S5 (2015),,,,,,,,64581,2024,Stawamus Chief Protected Area,III,No,Protected Area,Sub-national Government,Government of British Columbia,III,49.6741216667,-123.1502083333
