"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","class","order","suborder","infraorder","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences"
× Elyhordeum stebbinsianum,"(Bowden) Bowden",1435202,Plantae,Tracheophyta,Liliopsida,Poales,,,Poaceae,× Elyhordeum ,,,× Elyhordeum stebbinsianum,hybrid,BABY,BABY,BABY-11514,,BABY-11514-11239,"Frank Lomer; Judith Holm",11239,,2018-07-14,2018,7,14,PRESERVED_SPECIMEN,"Squamish River estuary, 1.8 km north of river mouth at end of Spit Road, 50 m east of Spit Road",,,British Columbia,Canada,CA,49.702083,-123.175972,,,,,,,,,present,,,,,native,SNA,,"Frank Lomer",,,,,
× Elyhordeum stebbinsianum,"(Bowden) Bowden",1435202,Plantae,Tracheophyta,Liliopsida,Poales,,,Poaceae,× Elyhordeum ,,,× Elyhordeum stebbinsianum,hybrid,UBC,UBCVascular,V253319,,E62FD1F3-62A0-B649-8382-B5D48C180540,"Frank Lomer, Judith Holm",11239,,2018-07-14,2018,7,14,PRESERVED_SPECIMEN,"Squamish River estuary, 1.8 km north of river mouth at end of Spit Road, 50 m east of Spit Road",,,British Columbia,Canada,CA,49.7021109990697,-123.175972,5,,,,,,,,present,,,,,native,SNA,,"Frank Lomer",,,,,
× Elyhordeum stebbinsianum,"(Bowden) Bowden",1435202,Plantae,Tracheophyta,Liliopsida,Poales,,,Poaceae,× Elyhordeum ,,,× Elyhordeum stebbinsianum,hybrid,,,BABY-11514,,http://bins.boldsystems.org/index.php/Public_RecordView?processid=BBYUK3195-20,"Frank Lomer; Judith Holm",,,2018-07-14,2018,7,14,MATERIAL_SAMPLE,"Squamish River estuary, 1.8 km north of river mouth at end of Spit Road, 50 m east of Spit Road",,,British Columbia,Canada,CA,49.702,-123.176,,,,,,,,,present,,,,,native,SNA,,"Frank Lomer",,,,,
Acer campestre,"L.",56193,Plantae,Tracheophyta,Magnoliopsida,Sapindales,,,Sapindaceae,Acer,,Acer campestre,,species,iNaturalist,Observations,97603328,,https://www.inaturalist.org/observations/97603328,"Ben Keen",,,2021-10-08,2021,10,8,HUMAN_OBSERVATION,"",,,British Columbia,Canada,CA,49.373822,-123.346797,,,,,,,,,present,,,,,exotic,unlisted,,"Ben Keen",,,,,
Acer campestre,"L.",56193,Plantae,Tracheophyta,Magnoliopsida,Sapindales,,,Sapindaceae,Acer,,Acer campestre,,species,iNaturalist,Observations,97603328,,https://www.inaturalist.org/observations/97603328,"Ben Keen",,,2021-10-08,2021,10,8,Human Observation,"",,,British Columbia,Canada,CA,49.3738222222,-123.3467972222,,,,,,,,,present,,,,,exotic,unlisted,,"",,,,,
Acer campestre,"L.",56193,Plantae,Tracheophyta,Magnoliopsida,Sapindales,,,Sapindaceae,Acer,,Acer campestre,,species,iNaturalist,Observations,17712948,,https://www.inaturalist.org/observations/17712948,"auslander",,,2018-10-21,2018,10,21,Human Observation,"",,,British Columbia,Canada,CA,49.3679285562,-123.3817352169,5,,,,,,,,present,,,,,exotic,unlisted,,"",,,,,
Acer platanoides,"L.",54763,Plantae,Tracheophyta,Magnoliopsida,Sapindales,,,Sapindaceae,Acer,,Acer platanoides,,species,iNaturalist,Observations,60565734,,https://www.inaturalist.org/observations/60565734,"John Martin",,,2020-09-21,2020,9,21,Human Observation,"",,,British Columbia,Canada,CA,49.3775941067,-123.3342224833,,,,,,,,,present,,,,,exotic,SNA (2019),,"",,,,,
Acer platanoides,"L.",54763,Plantae,Tracheophyta,Magnoliopsida,Sapindales,,,Sapindaceae,Acer,,Acer platanoides,,species,iNaturalist,Observations,161132996,,https://www.inaturalist.org/observations/161132996,"Robyn Worcester",,,2023-05-11,2023,5,11,Human Observation,"",,,British Columbia,Canada,CA,49.33722,-123.4082416667,4,,,,,,,,present,,,,,exotic,SNA (2019),,"",,,,,
Achillea filipendulina,"Lam.",157924,Plantae,Tracheophyta,Magnoliopsida,Asterales,,,Asteraceae,Achillea,,Achillea filipendulina,,species,iNaturalist,Observations,30648893,,https://www.inaturalist.org/observations/30648893,"Ben Keen",,,2019-08-11,2019,8,11,HUMAN_OBSERVATION,"",,,British Columbia,Canada,CA,49.37767,-123.344952,263,,,,,,,,present,,,,,exotic,SNA (2019),,"Ben Keen",,,,,
Achillea filipendulina,"Lam.",157924,Plantae,Tracheophyta,Magnoliopsida,Asterales,,,Asteraceae,Achillea,,Achillea filipendulina,,species,iNaturalist,Observations,82435250,,https://www.inaturalist.org/observations/82435250,"jazzygrape",,,2021-06-08,2021,6,8,HUMAN_OBSERVATION,"",,,British Columbia,Canada,CA,49.695705,-123.155893,,,,,,,,,present,,,,,exotic,SNA (2019),,"jazzygrape",,,,,
