"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
Phlox diffusa ssp. longistylis,"Benth.","Wherry",spreading phlox,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Polymoniaceae,,,Phlox,Phlox diffusa,,longistylis,,native,S5 (2000),,1912-08-07,"John Davidson",UBC,V42760,,2024-08-28,"stem57",iNaturalist,240497329,,53,confirmed,observed,"RBCM:  Garibaldi PP Black Tusk slope",78544,VAS
Phyllodoce × intermedia,"(Hook.) Rydb.","",hybrid mountain-heath,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Ericoideae,,Phyllodoce,Phyllodoce ,Phyllodoce × intermedia,,,native,SNA,,1967-08-19,"V. Bednar, B. Fraser, Satoru Kojima, Vladimir J. Krajina",UBC,V160961,,2024-07-26,"teagan_maclachlan",iNaturalist,232726691,,17,confirmed,observed,"",170915,VAS
Phyllodoce empetriformis,"(Sm.) D. Don","",red mountain-heather,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Ericoideae,,Phyllodoce,Phyllodoce empetriformis,,,,native,S5 (2014),,1912-08-01,"John Davidson",UBC,V45132,,2024-10-13,"Roslyn",iNaturalist,247199704,,463,confirmed,observed,"",78560,VAS
Phyllodoce glanduliflora,"(Hook.) Coville","",yellow mountain-heath,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Ericoideae,,Phyllodoce,Phyllodoce glanduliflora,,,,native,S5 (2015),,1951-07-13,"W. Cottle",UBC,V27349,,2024-08-05,"Sophia BenJeddi",iNaturalist,234254019,,41,confirmed,observed,"",126558,VAS
Physaria arctica,"(Wormsk. ex Hornem.) O'Kane & Shehbaz.","",Arctic bladderpod,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,,Physaria,Physaria arctica,,,,native,S3S4 (2019),,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:393,,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:393,,1,new 2020,unobserved,"Reported as: Lesquerella arctica",359557,VAS
Physocarpus capitatus,"(Pursh) Kuntze","",Pacific ninebark,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,,Physocarpus,Physocarpus capitatus,,,,native,S4S5 (2015),,1913-06-01,"F. Perry",UBC,V33318,,2024-09-16,"Matthew Forster",iNaturalist,242132672,,188,confirmed,observed,"",57249,VAS
Picea engelmannii,"Parry ex Engelm","",Engelmann spruce,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Pinaceae,,,Picea,Picea engelmannii,,,,native,S5 (2019),,2019-08-24,"Kelly Fretwell",iNaturalist,31816526,,2023-07-15,"Noland Martin",iNaturalist,173089308,,3,new 2019,observed,"iNat: i.d. needs confirmation-interesting observation-location is west of usual range",78582,VAS
Picea sitchensis,"(Bong.) Carrière","",Sitka spruce,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Pinaceae,,,Picea,Picea sitchensis,,,,native,S5 (2015),,1996-04-26,"J. Burke Korol",iNaturalist,9450354,,2024-10-06,"rm1997",iNaturalist,246084254,,179,confirmed,observed,"",68131,VAS
Pilosella tristis,"(Willd. ex Spreng.) F.W.Schultz & Sch.Bip.","",alpine hawkweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,,Pilosella,Pilosella tristis,,,,native,S5 (2019),,1951-07-30,"M.R. Jackson",UBC,V47529,,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:396,,2,reported,unobserved,"Reported as: Hieracium triste",780652,VAS
Pinguicula macroceras,"Pall. ex Link","",horned butterwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lentibulariaceae,,,Pinguicula,Pinguicula vulgaris,,,,native,S3S4 (2001),,1965-07-29,"B. Fraser",UBC,V158295,,2024-07-07,"Brian Starzomski",iNaturalist,227941946,,11,confirmed,observed,"UBC:  Garibaldi PP Sentinel Gl foreland",606728,VAS
