"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","class","order","suborder","infraorder","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","temp_id","yearRecorded","protectedArea","IUCN_CAT","OECM","protectedAreaType","GOV_TYPE","OWNER_E","IUCN_Categ","decimalLatitude","decimalLongitude"
Acer glabrum var. douglasii,Torr.,181694,Plantae,Tracheophyta,Magnoliopsida,Sapindales,,,Sapindaceae,Acer,,Acer glabrum,douglasii,varietas,iNaturalist,Observations,98941046,,https://www.inaturalist.org/observations/98941046,Kate McKeown,,,2021-10-01,2021,10,1,HUMAN_OBSERVATION,"",,,British Columbia,Canada,CA,16,,,,,,,,present,,,,,native,S5 (2015),,Kate McKeown,,,,,,807,2021,Bowen Island Ecological Reserve,Ia,No,Ecological Reserve,Sub-national Government,Government of British Columbia,Ia,49.369336,-123.351867
Acer glabrum var. douglasii,Torr.,181694,Plantae,Tracheophyta,Magnoliopsida,Sapindales,,,Sapindaceae,Acer,,Acer glabrum,douglasii,varietas,iNaturalist,Observations,99728324,,https://www.inaturalist.org/observations/99728324,Kate McKeown,,,2021-10-01,2021,10,1,HUMAN_OBSERVATION,"",,,British Columbia,Canada,CA,,,,,,,,,present,,,,,native,S5 (2015),,Kate McKeown,,,,,,809,2021,Bowen Island Ecological Reserve,Ia,No,Ecological Reserve,Sub-national Government,Government of British Columbia,Ia,49.369102,-123.351891
Acer glabrum var. douglasii,Torr.,181694,Plantae,Tracheophyta,Magnoliopsida,Sapindales,,,Sapindaceae,Acer,,Acer glabrum,douglasii,varietas,iNaturalist,Observations,99728324,,https://www.inaturalist.org/observations/99728324,Kate McKeown,,,2021-10-01,2021,10,1,Human Observation,"",,,British Columbia,Canada,CA,,,,,,,,,present,,,,,native,S5 (2015),,,,,,,,830,2021,Bowen Island Ecological Reserve,Ia,No,Ecological Reserve,Sub-national Government,Government of British Columbia,Ia,49.369102,-123.351891
Acer glabrum var. douglasii,Torr.,181694,Plantae,Tracheophyta,Magnoliopsida,Sapindales,,,Sapindaceae,Acer,,Acer glabrum,douglasii,varietas,iNaturalist,Observations,98941046,,https://www.inaturalist.org/observations/98941046,Kate McKeown,,,2021-10-01,2021,10,1,Human Observation,"",,,British Columbia,Canada,CA,16,,,,,,,,present,,,,,native,S5 (2015),,,,,,,,831,2021,Bowen Island Ecological Reserve,Ia,No,Ecological Reserve,Sub-national Government,Government of British Columbia,Ia,49.3693361111,-123.3518666667
Acer macrophyllum,Pursh,48227,Plantae,Tracheophyta,Magnoliopsida,Sapindales,,,Sapindaceae,Acer,,Acer macrophyllum,,species,iNaturalist,Observations,99728329,,https://www.inaturalist.org/observations/99728329,Kate McKeown,,,2021-10-01,2021,10,1,HUMAN_OBSERVATION,"",,,British Columbia,Canada,CA,,,,,,,,,present,,,,,native,S5 (2015),,Kate McKeown,,,,,,853,2021,Bowen Island Ecological Reserve,Ia,No,Ecological Reserve,Sub-national Government,Government of British Columbia,Ia,49.369102,-123.351891
Acer macrophyllum,Pursh,48227,Plantae,Tracheophyta,Magnoliopsida,Sapindales,,,Sapindaceae,Acer,,Acer macrophyllum,,species,iNaturalist,Observations,98941060,,https://www.inaturalist.org/observations/98941060,Kate McKeown,,,2021-10-01,2021,10,1,HUMAN_OBSERVATION,"",,,British Columbia,Canada,CA,16,,,,,,,,present,,,,,native,S5 (2015),,Kate McKeown,,,,,,854,2021,Bowen Island Ecological Reserve,Ia,No,Ecological Reserve,Sub-national Government,Government of British Columbia,Ia,49.370092,-123.350197
Acer macrophyllum,Pursh,48227,Plantae,Tracheophyta,Magnoliopsida,Sapindales,,,Sapindaceae,Acer,,Acer macrophyllum,,species,iNaturalist,Observations,98941054,,https://www.inaturalist.org/observations/98941054,Kate McKeown,,,2021-10-01,2021,10,1,HUMAN_OBSERVATION,"",,,British Columbia,Canada,CA,8,,,,,,,,present,,,,,native,S5 (2015),,Kate McKeown,,,,,,897,2021,Bowen Island Ecological Reserve,Ia,No,Ecological Reserve,Sub-national Government,Government of British Columbia,Ia,49.369811,-123.350922
Acer macrophyllum,Pursh,48227,Plantae,Tracheophyta,Magnoliopsida,Sapindales,,,Sapindaceae,Acer,,Acer macrophyllum,,species,iNaturalist,Observations,98941001,,https://www.inaturalist.org/observations/98941001,Kate McKeown,,,2021-10-01,2021,10,1,HUMAN_OBSERVATION,"",,,British Columbia,Canada,CA,10,,,,,,,,present,,,,,native,S5 (2015),,Kate McKeown,,,,,,904,2021,Bowen Island Ecological Reserve,Ia,No,Ecological Reserve,Sub-national Government,Government of British Columbia,Ia,49.369794,-123.351002
Acer macrophyllum,Pursh,48227,Plantae,Tracheophyta,Magnoliopsida,Sapindales,,,Sapindaceae,Acer,,Acer macrophyllum,,species,iNaturalist,Observations,98941013,,https://www.inaturalist.org/observations/98941013,Kate McKeown,,,2021-10-01,2021,10,1,HUMAN_OBSERVATION,"",,,British Columbia,Canada,CA,16,,,,,,,,present,,,,,native,S5 (2015),,Kate McKeown,,,,,,965,2021,Bowen Island Ecological Reserve,Ia,No,Ecological Reserve,Sub-national Government,Government of British Columbia,Ia,49.370261,-123.351503
Acer macrophyllum,Pursh,48227,Plantae,Tracheophyta,Magnoliopsida,Sapindales,,,Sapindaceae,Acer,,Acer macrophyllum,,species,iNaturalist,Observations,98941063,,https://www.inaturalist.org/observations/98941063,Kate McKeown,,,2021-10-01,2021,10,1,HUMAN_OBSERVATION,"",,,British Columbia,Canada,CA,43,,,,,,,,present,,,,,native,S5 (2015),,Kate McKeown,,,,,,984,2021,Bowen Island Ecological Reserve,Ia,No,Ecological Reserve,Sub-national Government,Government of British Columbia,Ia,49.369912,-123.351244
