Supplied name,Preferred name,Comments
Lycopodium clavatum var. integerrimum,Lycopodium clavatum,First 6 didn't look up at all
Erythranthe sookensis,Erythranthe nasuta,
Pyrola picta ssp. dentata,Pyrola picta,
Potentilla anserina ssp. egedii,Argentina anserina groenlandica,
Carex lyngbyei ssp. cryptocarpa,Carex lyngbyei,
Bromus inermis ssp. thominii,Bromus inermis,
Aphanes arvensis,Alchemilla arvensis,From here get mis-resolved through ambiguous matches
Aphanes occidentalis,Alchemilla occidentalis,
Lepidium virginicum ssp. menziesii,Lepidium virginicum menziesii,
Lepidium virginicum ssp. pubescens,Lepidium virginicum,
