scientificName,linkName,linkTaxonID,taxonRank,reportingStatus,direct_solow_pp,phylum,iNaturalistTaxonId,iNaturalistTaxonName,kingdom,subphylum,class,subclass,superorder,order,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety,nameStatus
Achnatherum lemmonii ssp. lemmonii,Eriocoma lemmonii lemmonii; Eriocoma lemmonii,1220756; 1220721,subspecies,confirmed,1,Tracheophyta,1220756,Eriocoma lemmonii lemmonii,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Stipeae,Eriocoma,lemmonii,Eriocoma lemmonii lemmonii,,unaccepted
Achnatherum nelsonii,Eriocoma nelsonii,1221562,subspecies,confirmed,0.977272727272727,Tracheophyta,1221562,Eriocoma nelsonii,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Stipeae,Eriocoma,nelsonii,,,unaccepted
Achnatherum nelsonii ssp. dorei,Eriocoma nelsonii dorei,1221728,subspecies,unconfirmed,0.08,Tracheophyta,1221728,Eriocoma nelsonii dorei,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Stipeae,Eriocoma,nelsonii,Eriocoma nelsonii dorei,,unaccepted
Achnatherum nelsonii ssp. nelsonii,Eriocoma nelsonii nelsonii,,subspecies,unconfirmed,-0.079136690647482,Tracheophyta,1221600,Eriocoma nelsonii nelsonii,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Stipeae,Eriocoma,nelsonii,Eriocoma nelsonii nelsonii,,unaccepted
Acmispon americanus var. americanus,Acmispon americanus americanus; Acmispon americanus,57053; 57049,variety,confirmed,-17.8867924528302,Tracheophyta,57053,Acmispon americanus americanus,Plantae,Angiospermae,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Loteae,Acmispon,americanus,,Acmispon americanus americanus,accepted
Acmispon denticulatus,Acmispon denticulatus,60194,species,confirmed,0.999501992031873,Tracheophyta,60194,Acmispon denticulatus,Plantae,Angiospermae,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Loteae,Acmispon,denticulatus,,,accepted
Acmispon parviflorus,Acmispon parviflorus,57048,species,confirmed,1,Tracheophyta,57048,Acmispon parviflorus,Plantae,Angiospermae,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Loteae,Acmispon,parviflorus,,,accepted
Actaea rubra,Actaea rubra,49870,species,new,0.875,Tracheophyta,49870,Actaea rubra,Plantae,Angiospermae,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,Actaeeae,Actaea,rubra,,,accepted
Adenocaulon bicolor,Adenocaulon bicolor,56854,species,confirmed,1,Tracheophyta,56854,Adenocaulon bicolor,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Mutisioideae,Mutisieae,Adenocaulon,bicolor,,,accepted
Adiantum aleuticum var. aleuticum,Adiantum pedatum; Adiantum aleuticum; Adiantum aleuticum aleuticum,48435; 52667; 947668,variety,confirmed,1,Tracheophyta,947668,Adiantum aleuticum aleuticum,Plantae,,Polypodiopsida,Polypodiidae,,Polypodiales,,,Pteridaceae,Vittarioideae,,Adiantum,aleuticum,,Adiantum aleuticum aleuticum,accepted
Aegopodium podagraria,Aegopodium podagraria,51741,species,new,1,Tracheophyta,51741,Aegopodium podagraria,Plantae,Angiospermae,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,Careae,Aegopodium,podagraria,,,accepted
Aesculus hippocastanum,Aesculus hippocastanum,84298,species,new,1,Tracheophyta,84298,Aesculus hippocastanum,Plantae,Angiospermae,Magnoliopsida,,,Sapindales,,,Sapindaceae,,,Aesculus,hippocastanum,,,accepted
Agoseris grandiflora var. leptophylla,Agoseris grandiflora leptophylla; Agoseris grandiflora,52828,variety,confirmed,1,Tracheophyta,80332,Agoseris grandiflora leptophylla,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,Agoseris,grandiflora,,Agoseris grandiflora leptophylla,accepted
Agoseris heterophylla var. heterophylla,Agoseris heterophylla,56856,species,confirmed,,Tracheophyta,56859,Agoseris heterophylla heterophylla,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,Agoseris,heterophylla,,Agoseris heterophylla heterophylla,accepted
Agropyron cristatum ssp. pectinatum,Agropyron cristatum,75309,subspecies,unconfirmed,0.381294964028777,Tracheophyta,75309,Agropyron cristatum,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Triticeae,Agropyron,cristatum,,,unaccepted
Agrostis capillaris,Agrostis capillaris,75312,species,confirmed,1,Tracheophyta,75312,Agrostis capillaris,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,capillaris,,,accepted
Agrostis exarata,Agrostis exarata,59088,species,confirmed,0.992424242424243,Tracheophyta,59088,Agrostis exarata,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,exarata,,,accepted
Agrostis gigantea,Agrostis gigantea,75314,species,confirmed,1,Tracheophyta,75314,Agrostis gigantea,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,gigantea,,,accepted
Agrostis idahoensis,Agrostis idahoensis,,,unconfirmed,0.251798561151079,Tracheophyta,75317,Agrostis idahoensis,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,idahoensis,,,accepted
Agrostis microphylla,Agrostis microphylla,60277,species,confirmed,0.992424242424243,Tracheophyta,60277,Agrostis microphylla,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,microphylla,,,accepted
Agrostis oregonensis,Agrostis oregonensis,75318,species,unconfirmed,0.423529411764706,Tracheophyta,75318,Agrostis oregonensis,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,oregonensis,,,accepted
Agrostis pallens,Agrostis pallens,52692,species,confirmed,0.76271186440678,Tracheophyta,52692,Agrostis pallens,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,pallens,,,accepted
Agrostis scabra,Agrostis scabra,75319,species,confirmed,0.992248062015504,Tracheophyta,75319,Agrostis scabra,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,scabra,,,accepted
Agrostis stolonifera,Agrostis stolonifera,69931,species,confirmed,1,Tracheophyta,69931,Agrostis stolonifera,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Agrostis,stolonifera,,,accepted
Ailanthus altissima,Ailanthus altissima,57278,species,new,1,Tracheophyta,57278,Ailanthus altissima,Plantae,Angiospermae,Magnoliopsida,,,Sapindales,,,Simaroubaceae,,,Ailanthus,altissima,,,accepted
Aira caryophyllea,Aira caryophyllea,52694,species,confirmed,,Tracheophyta,52694,Aira caryophyllea,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Aira,caryophyllea,,,accepted
Aira praecox,Aira praecox,61058,species,confirmed,,Tracheophyta,61058,Aira praecox,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Aira,praecox,,,accepted
Alchemilla microcarpa,Alchemilla microcarpa,1363872,species,unconfirmed,0.661870503597122,Tracheophyta,1363872,Alchemilla microcarpa,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,Potentilleae,Alchemilla,microcarpa,,,accepted
Alisma plantago-aquatica,Alisma plantago-aquatica,60253,species,confirmed,1,Tracheophyta,60253,Alisma plantago-aquatica,Plantae,Angiospermae,Liliopsida,,,Alismatales,,,Alismataceae,,,Alisma,plantago-aquatica,,,accepted
Alisma triviale,Alisma triviale,61167,species,new,0.875,Tracheophyta,61167,Alisma triviale,Plantae,Angiospermae,Liliopsida,,,Alismatales,,,Alismataceae,,,Alisma,triviale,,,accepted
Alliaria petiolata,Alliaria petiolata,56061,species,confirmed,1,Tracheophyta,56061,Alliaria petiolata,Plantae,Angiospermae,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Thlaspideae,Alliaria,petiolata,,,accepted
Allium acuminatum,Allium acuminatum,59782,species,confirmed,1,Tracheophyta,59782,Allium acuminatum,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,Allieae,Allium,acuminatum,,,accepted
Allium amplectens,Allium amplectens,60267,species,confirmed,-30.7619047619048,Tracheophyta,60267,Allium amplectens,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,Allieae,Allium,amplectens,,,accepted
Allium cernuum,Allium cernuum,116364,species,confirmed,1,Tracheophyta,116364,Allium cernuum,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,Allieae,Allium,cernuum,,,accepted
Allium geyeri var. tenerum,Allium geyeri tenerum; Allium geyeri,239144; 148938,variety,confirmed,0.990990990990991,Tracheophyta,239144,Allium geyeri tenerum,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,Allieae,Allium,geyeri,,Allium geyeri tenerum,accepted
Allium schoenoprasum,Allium schoenoprasum,59254,species,new,1,Tracheophyta,59254,Allium schoenoprasum,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,Allieae,Allium,schoenoprasum,,,accepted
Allium triquetrum,Allium triquetrum,55505,species,new,1,Tracheophyta,55505,Allium triquetrum,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,Allieae,Allium,triquetrum,,,accepted
Allium vineale,Allium vineale,75371,complex,confirmed,,Tracheophyta,1480453,Allium vineale,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,Allieae,Allium,vineale,,,accepted
Allotropa virgata,Allotropa virgata,62481,species,confirmed,0.982142857142857,Tracheophyta,62481,Allotropa virgata,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Ericaceae,Monotropoideae,,Allotropa,virgata,,,accepted
Alnus rubra,Alnus rubra,56034,species,confirmed,1,Tracheophyta,56034,Alnus rubra,Plantae,Angiospermae,Magnoliopsida,,,Fagales,,,Betulaceae,,,Alnus,rubra,,,accepted
Alnus viridis ssp. sinuata,Alnus alnobetula sinuata,939032,subspecies,confirmed,0.948717948717949,Tracheophyta,939032,Alnus alnobetula sinuata,Plantae,Angiospermae,Magnoliopsida,,,Fagales,,,Betulaceae,,,Alnus,alnobetula,Alnus alnobetula sinuata,,unaccepted
Alopecurus aequalis var. aequalis,Alopecurus aequalis,75381,species,confirmed,0.976744186046512,Tracheophyta,80355,Alopecurus aequalis aequalis,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Alopecurus,aequalis,,Alopecurus aequalis aequalis,accepted
Alopecurus carolinianus,Alopecurus carolinianus,75382,species,confirmed,0.984375,Tracheophyta,75382,Alopecurus carolinianus,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Alopecurus,carolinianus,,,accepted
Alopecurus geniculatus,Alopecurus geniculatus,71140,species,confirmed,0.992424242424243,Tracheophyta,71140,Alopecurus geniculatus,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Alopecurus,geniculatus,,,accepted
Alopecurus pratensis,Alopecurus pratensis,71141,species,confirmed,,Tracheophyta,71141,Alopecurus pratensis,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Alopecurus,pratensis,,,accepted
Alopecurus saccatus,Alopecurus saccatus,,,,,Tracheophyta,58364,Alopecurus saccatus,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Alopecurus,saccatus,,,accepted
Amaranthus albus,Amaranthus albus,57893,species,confirmed,0.972477064220183,Tracheophyta,57893,Amaranthus albus,Plantae,Angiospermae,Magnoliopsida,,,Caryophyllales,,,Amaranthaceae,Amaranthoideae,,Amaranthus,albus,,,accepted
Amaranthus blitoides,Amaranthus blitoides,58774,species,confirmed,0.964285714285714,Tracheophyta,58774,Amaranthus blitoides,Plantae,Angiospermae,Magnoliopsida,,,Caryophyllales,,,Amaranthaceae,Amaranthoideae,,Amaranthus,blitoides,,,accepted
Amaranthus powellii,Amaranthus powellii,75398,species,confirmed,0.973214285714286,Tracheophyta,75398,Amaranthus powellii,Plantae,Angiospermae,Magnoliopsida,,,Caryophyllales,,,Amaranthaceae,Amaranthoideae,,Amaranthus,powellii,,,accepted
Amaranthus retroflexus,Amaranthus retroflexus,58776,species,confirmed,0.985714285714286,Tracheophyta,58776,Amaranthus retroflexus,Plantae,Angiospermae,Magnoliopsida,,,Caryophyllales,,,Amaranthaceae,Amaranthoideae,,Amaranthus,retroflexus,,,accepted
Ambrosia chamissonis,Ambrosia chamissonis,71135,species,confirmed,1,Tracheophyta,71135,Ambrosia chamissonis,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Heliantheae,Ambrosia,chamissonis,,,accepted
Amelanchier alnifolia var. semiintegrifolia,Amelanchier alnifolia semiintegrifolia; Amelanchier alnifolia alnifolia; Amelanchier alnifolia,239166; 75415,variety,confirmed,1,Tracheophyta,80360,Amelanchier alnifolia semi-integrifolia,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Amelanchier,alnifolia,,Amelanchier alnifolia semi-integrifolia,unaccepted
Amelanchier cusickii,Amelanchier cusickii,363448,species,new,1,Tracheophyta,363448,Amelanchier cusickii,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,Amelanchier,cusickii,,,accepted
Ammophila arenaria ssp. arenaria,Ammophila arenaria; Calamagrostis arenaria,942779,subspecies,confirmed,0.988372093023256,Tracheophyta,1511127,Calamagrostis arenaria arenaria,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Calamagrostis,arenaria,Calamagrostis arenaria arenaria,,unaccepted
Amsinckia intermedia,Amsinckia menziesii intermedia,49141,species,confirmed,0.957264957264957,Tracheophyta,49141,Amsinckia menziesii intermedia,Plantae,Angiospermae,Magnoliopsida,,,Boraginales,,,Boraginaceae,Cynoglossoideae,Cynoglosseae,Amsinckia,menziesii,,Amsinckia menziesii intermedia,unaccepted
Amsinckia menziesii var. menziesii,Amsinckia menziesii,55436,species,confirmed,1,Tracheophyta,58049,Amsinckia menziesii menziesii,Plantae,Angiospermae,Magnoliopsida,,,Boraginales,,,Boraginaceae,Cynoglossoideae,Cynoglosseae,Amsinckia,menziesii,,Amsinckia menziesii menziesii,accepted
Amsinckia spectabilis,Amsinckia spectabilis,71045,species,new,0.985611510791367,Tracheophyta,71045,Amsinckia spectabilis,Plantae,Angiospermae,Magnoliopsida,,,Boraginales,,,Boraginaceae,Cynoglossoideae,Cynoglosseae,Amsinckia,spectabilis,,,accepted
Anaphalis margaritacea,Anaphalis margaritacea,52833,species,confirmed,1,Tracheophyta,52833,Anaphalis margaritacea,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Gnaphalieae,Anaphalis,margaritacea,,,accepted
Anchusa officinalis,Anchusa officinalis,75430,species,unconfirmed,0.352517985611511,Tracheophyta,75430,Anchusa officinalis,Plantae,Angiospermae,Magnoliopsida,,,Boraginales,,,Boraginaceae,Boraginoideae,Boragineae,Anchusa,officinalis,,,accepted
Anemone apennina,Anemonoides apennina,950619,species,new,1,Tracheophyta,950619,Anemonoides apennina,Plantae,Angiospermae,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,Anemoneae,Anemonoides,apennina,,,unaccepted
Anemone lyallii,Anemonoides grayi,950609,species,new,1,Tracheophyta,950609,Anemonoides grayi,Plantae,Angiospermae,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,Anemoneae,Anemonoides,grayi,,,unaccepted
Anemone nemorosa,Anemonoides nemorosa,950603,species,new,1,Tracheophyta,950603,Anemonoides nemorosa,Plantae,Angiospermae,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,Anemoneae,Anemonoides,nemorosa,,,unaccepted
Angelica genuflexa,Angelica genuflexa,75450,species,confirmed,1,Tracheophyta,75450,Angelica genuflexa,Plantae,Angiospermae,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,Selineae,Angelica,genuflexa,,,accepted
Angelica lucida,Angelica lucida,75453,species,new,1,Tracheophyta,75453,Angelica lucida,Plantae,Angiospermae,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,Selineae,Angelica,lucida,,,accepted
Anisocarpus madioides,Anisocarpus madioides,53137,species,confirmed,1,Tracheophyta,53137,Anisocarpus madioides,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Madieae,Anisocarpus,madioides,,,accepted
Antennaria anaphaloides,Antennaria anaphaloides,,,,,Tracheophyta,158406,Antennaria anaphaloides,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Gnaphalieae,Antennaria,anaphaloides,,,accepted
Antennaria dimorpha,Antennaria dimorpha,75460,species,unconfirmed,0.460431654676259,Tracheophyta,75460,Antennaria dimorpha,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Gnaphalieae,Antennaria,dimorpha,,,accepted
Antennaria neglecta,Antennaria neglecta,,,unconfirmed,0.683453237410072,Tracheophyta,127005,Antennaria neglecta,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Gnaphalieae,Antennaria,neglecta,,,accepted
Antennaria racemosa,Antennaria racemosa,75469,species,unconfirmed,0.654676258992806,Tracheophyta,75469,Antennaria racemosa,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Gnaphalieae,Antennaria,racemosa,,,accepted
Anthemis arvensis,Anthemis arvensis,52838,species,new,0.5,Tracheophyta,52838,Anthemis arvensis,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Anthemideae,Anthemis,arvensis,,,accepted
Anthemis cotula,Anthemis cotula,52841,species,confirmed,0.972222222222222,Tracheophyta,52841,Anthemis cotula,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Anthemideae,Anthemis,cotula,,,accepted
Anthoxanthum aristatum ssp. aristatum,Anthoxanthum aristatum aristatum; Anthoxanthum aristatum,75472,subspecies,confirmed,0.983333333333333,Tracheophyta,79576,Anthoxanthum aristatum aristatum,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Anthoxanthum,aristatum,Anthoxanthum aristatum aristatum,,accepted
Anthoxanthum odoratum,Anthoxanthum odoratum,75475,species,confirmed,,Tracheophyta,75475,Anthoxanthum odoratum,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Anthoxanthum,odoratum,,,accepted
Anthriscus caucalis,Anthriscus caucalis,52846,species,confirmed,1,Tracheophyta,52846,Anthriscus caucalis,Plantae,Angiospermae,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,Scandiceae,Anthriscus,caucalis,,,accepted
Aphanes arvensis,Alchemilla arvensis,866483,species,confirmed,1,Tracheophyta,866483,Alchemilla arvensis,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,Potentilleae,Alchemilla,arvensis,,,unaccepted
Aphanes australis,Alchemilla australis,1363874,species,confirmed,1,Tracheophyta,1363874,Alchemilla australis,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,Potentilleae,Alchemilla,australis,,,unaccepted
Aphanes occidentalis,Alchemilla occidentalis,1452907,species,new,1,Tracheophyta,866483,Alchemilla arvensis,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,Potentilleae,Alchemilla,arvensis,,,unaccepted
Aphyllon californicum ssp. californicum,Aphyllon californicum; Aphyllon californicum californicum,802458; 802465,subspecies,confirmed,1,Tracheophyta,802465,Aphyllon californicum californicum,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,Orobancheae,Aphyllon,californicum,Aphyllon californicum californicum,,accepted
Aphyllon purpureum,Aphyllon purpureum,739040,species,confirmed,1,Tracheophyta,739040,Aphyllon purpureum,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,Orobancheae,Aphyllon,purpureum,,,accepted
Aphyllon uniflorum,Aphyllon uniflorum,802714,species,unconfirmed,0.241379310344828,Tracheophyta,802714,Aphyllon uniflorum,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,Orobancheae,Aphyllon,uniflorum,,,accepted
Apocynum androsaemifolium,Apocynum androsaemifolium,47359,species,confirmed,1,Tracheophyta,47359,Apocynum androsaemifolium,Plantae,Angiospermae,Magnoliopsida,,,Gentianales,,,Apocynaceae,Apocynoideae,Apocyneae,Apocynum,androsaemifolium,,,accepted
Apocynum cannabinum,Apocynum cannabinum,58795,species,unconfirmed,0.20863309352518,Tracheophyta,58795,Apocynum cannabinum,Plantae,Angiospermae,Magnoliopsida,,,Gentianales,,,Apocynaceae,Apocynoideae,Apocyneae,Apocynum,cannabinum,,,accepted
Aquilegia formosa var. formosa,Aquilegia formosa,48244,species,confirmed,1,Tracheophyta,48251,Aquilegia formosa formosa,Plantae,Angiospermae,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Thalictroideae,,Aquilegia,formosa,,Aquilegia formosa formosa,accepted
Arabidopsis thaliana,Arabidopsis thaliana,55021,species,confirmed,1,Tracheophyta,55021,Arabidopsis thaliana,Plantae,Angiospermae,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Arabidopsideae,Arabidopsis,thaliana,,,accepted
Arabis eschscholtziana,Arabis eschscholtziana,75494,species,confirmed,1,Tracheophyta,75494,Arabis eschscholtziana,Plantae,Angiospermae,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Arabideae,Arabis,eschscholtziana,,,accepted
Arbutus menziesii,Arbutus menziesii,51046,species,confirmed,1,Tracheophyta,51046,Arbutus menziesii,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Ericaceae,Arbutoideae,,Arbutus,menziesii,,,accepted
Arceuthobium americanum,Arceuthobium americanum,48935,species,unconfirmed,0.142857142857143,Tracheophyta,48935,Arceuthobium americanum,Plantae,Angiospermae,Magnoliopsida,,,Santalales,,,Santalaceae,,Visceae,Arceuthobium,americanum,,,accepted
Arceuthobium tsugense ssp. contortae,Arceuthobium tsugense contortae,234332,subspecies,new,0.75,Tracheophyta,234332,Arceuthobium tsugense contortae,Plantae,Angiospermae,Magnoliopsida,,,Santalales,,,Santalaceae,,Visceae,Arceuthobium,tsugense,Arceuthobium tsugense contortae,,accepted
Arctium lappa,Arctium lappa,75501,species,confirmed,1,Tracheophyta,75501,Arctium lappa,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Carduoideae,Cardueae,Arctium,lappa,,,accepted
Arctium minus,Arctium minus,59570,species,confirmed,1,Tracheophyta,59570,Arctium minus,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Carduoideae,Cardueae,Arctium,minus,,,accepted
Arctostaphylos columbiana,Arctostaphylos columbiana,75505,species,confirmed,1,Tracheophyta,75505,Arctostaphylos columbiana,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Ericaceae,Arbutoideae,,Arctostaphylos,columbiana,,,accepted
Arctostaphylos media,Arctostaphylos × media,181436,hybrid,new,0.97841726618705,Tracheophyta,181436,Arctostaphylos × media,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Ericaceae,Arbutoideae,,Arctostaphylos,,,,invalid
Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,68049,species,confirmed,1,Tracheophyta,68049,Arctostaphylos uva-ursi,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Ericaceae,Arbutoideae,,Arctostaphylos,uva-ursi,,,accepted
Arenaria serpyllifolia var. serpyllifolia,Arenaria serpyllifolia serpyllifolia; Arenaria serpyllifolia,80373; 75553,variety,confirmed,0.991071428571429,Tracheophyta,80373,Arenaria serpyllifolia serpyllifolia,Plantae,Angiospermae,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,Arenarieae,Arenaria,serpyllifolia,,Arenaria serpyllifolia serpyllifolia,accepted
Argyrocytisus battandieri,Argyrocytisus battandieri,430682,species,unconfirmed,0.311111111111111,Tracheophyta,430682,Argyrocytisus battandieri,Plantae,Angiospermae,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Genisteae,Argyrocytisus,battandieri,,,accepted
