scientificName,linkName,linkTaxonID,taxonRank,reportingStatus,direct_solow_pp,phylum,iNaturalistTaxonId,iNaturalistTaxonName,kingdom,subphylum,class,subclass,superorder,order,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety,nameStatus
Abies amabilis,Abies amabilis,75240,species,confirmed,1,Tracheophyta,75240,Abies amabilis,Plantae,,Pinopsida,,,Pinales,,,Pinaceae,Abietoideae,,Abies,amabilis,,,accepted
Abies grandis,Abies grandis,63690,species,confirmed,,Tracheophyta,63690,Abies grandis,Plantae,,Pinopsida,,,Pinales,,,Pinaceae,Abietoideae,,Abies,grandis,,,accepted
Abronia latifolia,Abronia latifolia,52618,species,confirmed,1,Tracheophyta,52618,Abronia latifolia,Plantae,Angiospermae,Magnoliopsida,,,Caryophyllales,,,Nyctaginaceae,,,Abronia,latifolia,,,accepted
Abutilon theophrasti,Abutilon theophrasti,60214,species,new,0.985611510791367,Tracheophyta,60214,Abutilon theophrasti,Plantae,Angiospermae,Magnoliopsida,,,Malvales,,,Malvaceae,Malvoideae,Malveae,Abutilon,theophrasti,,,accepted
Acer glabrum var. douglasii,Acer glabrum douglasii; Acer glabrum,181694; 63078,variety,confirmed,1,Tracheophyta,181694,Acer glabrum douglasii,Plantae,Angiospermae,Magnoliopsida,,,Sapindales,,,Sapindaceae,,,Acer,glabrum,,Acer glabrum douglasii,accepted
Acer macrophyllum,Acer macrophyllum,48227,species,confirmed,1,Tracheophyta,48227,Acer macrophyllum,Plantae,Angiospermae,Magnoliopsida,,,Sapindales,,,Sapindaceae,,,Acer,macrophyllum,,,accepted
Acer pseudoplatanus,Acer pseudoplatanus,119791,species,new,1,Tracheophyta,119791,Acer pseudoplatanus,Plantae,Angiospermae,Magnoliopsida,,,Sapindales,,,Sapindaceae,,,Acer,pseudoplatanus,,,accepted
Achillea filipendulina,Achillea filipendulina,157924,species,new,1,Tracheophyta,157924,Achillea filipendulina,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Anthemideae,Achillea,filipendulina,,,accepted
Achillea millefolium complex,Achillea millefolium,52821,complex,confirmed,1,Tracheophyta,1105043,Achillea millefolium,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Anthemideae,Achillea,millefolium,,,accepted
Achlys triphylla,Achlys triphylla,75263,species,confirmed,1,Tracheophyta,75263,Achlys triphylla,Plantae,Angiospermae,Magnoliopsida,,,Ranunculales,,,Berberidaceae,Podophylloideae,Achlydeae,Achlys,triphylla,,,accepted
