scientificName,scientificNameAuthorship,subtaxonAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,specificEpithet,hybrid,subspecies,variety,establishmentMeans,provincialStatus,nationalStatus,firstReported,firstReportedBy,firstReportedSource,firstReportedCollectionNumber,firstReportedGBIF,lastReported,lastReportedBy,lastReportedSource,lastReportedCollectionNumber,lastReportedGBIF,recordCount,reportingStatus,iNatObservationStatus,notes,ID,statsCode,iNaturalistTaxonId,iNaturalistTaxonName,nameStatus
× Elyhordeum stebbinsianum,(Bowden) Bowden,,purple wildrye,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooidiae,,× Elyhordeum ,,× Elyhordeum stebbinsianum,,,native,SNA,,2018-07-14,Frank Lomer; Judith Holm,BABY,BABY-11514,,2018-07-14,Frank Lomer; Judith Holm,BABY,BABY-11514,,3,new 2018,unobserved,,1435202,VAS,0,,unknown
Abies amabilis,Douglas ex J. Forbes,,Pacific silver fir,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Pinaceae,Abietoideae,,Abies,Abies amabilis,,,,native,S5 (2015),,1912-08-16,John Davidson,UBC,V5324,,2024-09-21,Harry Hill,iNaturalist,243225104,,310,confirmed,observed,,75240,VAS,75240,Abies amabilis,accepted
Abies grandis,(Douglas ex D. Don) Lindl.,,grand fir,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Pinaceae,Abietoideae,,Abies,Abies grandis,,,,native,S5 (2015),,2015-01-26,Steve Ansell,iNaturalist,149068173,,2024-10-12,shane dooley,iNaturalist,247578583,,113,confirmed,observed,,63690,VAS,63690,Abies grandis,accepted
Abies lasiocarpa,(Hooker) Nuttall,,subalpine fir,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Pinaceae,Abietoideae,,Abies,Abies lasiocarpa,,,,native,S5 (2015),,2013-07-25,Marcin Klisz,iNaturalist,74299223,,2024-09-19,Jon,iNaturalist,242980219,,57,confirmed,observed,,75241,VAS,75241,Abies lasiocarpa,accepted
Acer campestre,L.,,field maple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,Sapindaceae,,,Acer,Acer campestre,,,,exotic,unlisted,,2018-10-21,auslander,iNaturalist,17712948,,2021-10-08,Ben Keen,iNaturalist,97603328,,3,new 2018,observed,,56193,VAS,56193,Acer campestre,accepted
Acer circinatum,Pursh,,vine maple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,Sapindaceae,,,Acer,Acer circinatum,,,,native,S5 (2015),,1975-09-14,Richard Hebda,UBC,V162053,,2024-10-15,fjfrazier,iNaturalist,247543058,,316,confirmed,observed,,48258,VAS,48258,Acer circinatum,accepted
Acer glabrum var. douglasii,Torr.,(Hook.) Dippel,Douglas’ maple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,Sapindaceae,,,Acer,Acer glabrum,,,Acer glabrum douglasii,native,S5 (2015),,1912-08-06,John Davidson,CPNWH,2468436,,2024-08-17,Gwen L'Hirondelle,iNaturalist,236663590,,40,confirmed,observed,,181694,VAS,181694,Acer glabrum douglasii,accepted
Acer macrophyllum,Pursh,,bigleaf maple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,Sapindaceae,,,Acer,Acer macrophyllum,,,,native,S5 (2015),,1993-01-01,"MacPhail, J. & Woodward, R.",E,19941712,,2024-10-14,julesburg,iNaturalist,247424221,,605,confirmed,observed,,48227,VAS,48227,Acer macrophyllum,accepted
Acer platanoides,L.,,Norway maple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,Sapindaceae,,,Acer,Acer platanoides,,,,exotic,SNA (2019),,2020-09-21,John Martin,iNaturalist,60565734,,2023-05-11,Robyn Worcester,iNaturalist,161132996,,2,new 2020,observed,,54763,VAS,54763,Acer platanoides,accepted
Achillea filipendulina,Lam.,,fern-leaf yarrow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Anthemideae,Achillea,Achillea filipendulina,,,,exotic,SNA (2019),,2019-07-04,Sarah Wang - whi,iNaturalist,28215229,,2023-11-18,Radu Scurtescu,iNaturalist,191419666,,20,new 2019,observed,,157924,VAS,157924,Achillea filipendulina,accepted
