File,Field,Example value 1,Example value 2,Comment,Label,SortNumeric,NullAs
BEC/BEC.shp,MAP_LABEL,CWHvm2,CMAunp,,BEC,,
Protected_Areas/AHSBR_vascular_plant_diversity_x_protected_areas.shp,prtctAT,Wildlife Habitat Areas,Sea to Sky Wildland Zones,,Protected,,
