"regionField","id","label"
BEC,1,CMAunp
BEC,2,CWHdm
BEC,3,CWHds1
BEC,4,CWHms1
BEC,5,CWHvm1
BEC,6,CWHvm2
BEC,7,CWHxm1
BEC,8,MHmm1
BEC,9,MHmm2
Protected,1,A - Park
Protected,2,Conservancy
Protected,3,Ecological Reserve
Protected,4,Migratory Bird Sanctuary
Protected,5,Old Growth Management Areas (Mapped Legal)
Protected,6,Other Effective Area-Based Conservation Measure
Protected,7,Privately Owned Conservation Area
Protected,8,Protected Area
Protected,9,Sea To Sky Wildland Zones
Protected,10,Wildlife Habitat Areas
Protected,11,Wildlife Management Area
