scientificName,linkName,linkTaxonID,taxonRank,reportingStatus,direct_solow_pp,has_voucher,introduction_status,phylum
Abies amabilis,Abies amabilis,75240,species,confirmed,1,yes,native,Tracheophyta
Abies grandis,Abies grandis,63690,species,confirmed,,yes,native,Tracheophyta
Abronia latifolia,Abronia latifolia,52618,species,confirmed,1,yes,native,Tracheophyta
Abutilon theophrasti,Abutilon theophrasti,60214,species,new,0.985611510791367,no,exotic,Tracheophyta
Acer glabrum var. douglasii,Acer glabrum douglasii; Acer glabrum,181694; 63078,variety,confirmed,1,yes,native,Tracheophyta
Acer macrophyllum,Acer macrophyllum,48227,species,confirmed,1,yes,native,Tracheophyta
Acer pseudoplatanus,Acer pseudoplatanus,119791,species,new,1,no,exotic,Tracheophyta
Achillea filipendulina,Achillea filipendulina,157924,species,new,1,yes,exotic,Tracheophyta
Achillea millefolium complex,Achillea millefolium,52821,complex,confirmed,1,yes,native,Tracheophyta
Achlys triphylla,Achlys triphylla,75263,species,confirmed,1,yes,native,Tracheophyta
Achnatherum lemmonii ssp. lemmonii,Eriocoma lemmonii lemmonii; Eriocoma lemmonii,1220756; 1220721,subspecies,confirmed,1,yes,native,Tracheophyta
Achnatherum nelsonii,Eriocoma nelsonii,1221562,subspecies,confirmed,0.977272727272727,yes,native,Tracheophyta
Achnatherum nelsonii ssp. dorei,Eriocoma nelsonii dorei,1221728,subspecies,unconfirmed,0.08,yes,native,Tracheophyta
Achnatherum nelsonii ssp. nelsonii,Eriocoma nelsonii nelsonii,,subspecies,unconfirmed,-0.079136690647482,yes,native,Tracheophyta
Acmispon americanus var. americanus,Acmispon americanus americanus; Acmispon americanus,57053; 57049,variety,confirmed,-17.8867924528302,yes,native,Tracheophyta
Acmispon denticulatus,Acmispon denticulatus,60194,species,confirmed,0.999501992031873,yes,native,Tracheophyta
Acmispon parviflorus,Acmispon parviflorus,57048,species,confirmed,1,yes,native,Tracheophyta
Actaea rubra,Actaea rubra,49870,species,new,0.875,no,native,Tracheophyta
Adenocaulon bicolor,Adenocaulon bicolor,56854,species,confirmed,1,yes,native,Tracheophyta
Adiantum aleuticum var. aleuticum,Adiantum pedatum; Adiantum aleuticum; Adiantum aleuticum aleuticum,48435; 52667; 947668,variety,confirmed,1,yes,native,Tracheophyta
Aegopodium podagraria,Aegopodium podagraria,51741,species,new,1,no,exotic,Tracheophyta
Aesculus hippocastanum,Aesculus hippocastanum,84298,species,new,1,no,exotic,Tracheophyta
Agoseris grandiflora var. leptophylla,Agoseris grandiflora leptophylla; Agoseris grandiflora,52828,variety,confirmed,1,yes,native,Tracheophyta
Agoseris heterophylla var. heterophylla,Agoseris heterophylla,56856,species,confirmed,,yes,native,Tracheophyta
Agropyron cristatum ssp. pectinatum,Agropyron cristatum,75309,subspecies,unconfirmed,0.381294964028777,yes,exotic,Tracheophyta
Agrostis capillaris,Agrostis capillaris,75312,species,confirmed,1,yes,exotic,Tracheophyta
Agrostis exarata,Agrostis exarata,59088,species,confirmed,0.992424242424243,yes,native,Tracheophyta
Agrostis gigantea,Agrostis gigantea,75314,species,confirmed,1,yes,exotic,Tracheophyta
Agrostis idahoensis,Agrostis idahoensis,,,unconfirmed,0.251798561151079,yes,native,Tracheophyta
Agrostis microphylla,Agrostis microphylla,60277,species,confirmed,0.992424242424243,yes,native,Tracheophyta
Agrostis oregonensis,Agrostis oregonensis,75318,species,unconfirmed,0.423529411764706,yes,native,Tracheophyta
