scientificName,link_name,link_taxon_id,taxon_rank,infrataxon_status,provenance_status,provincial_concern,introduction_status,reportingStatus,solow_EP,phylum
Arctostaphylos media,Arctostaphylos × media,181436,hybrid,non-infrataxon,no_voucher,unknown,native,new,0.018,Tracheophyta
Argyrocytisus battandieri,Argyrocytisus battandieri,430682,species,non-infrataxon,voucher,unknown,exotic,unconfirmed,0.187,Tracheophyta
Artemisia campestris var. scouleriana,Artemisia campestris; Artemisia campestris pacifica,127960,variety,non-infrataxon,no_voucher; unknown,secure,native,unknown,,Tracheophyta
Atriplex prostrata,Atriplex prostrata,60176,species,non-infrataxon,no_voucher,unknown,exotic,new,0.006,Tracheophyta
Buxus sempervirens,Buxus sempervirens,133397,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.024,Tracheophyta
Canadanthus modestus,Canadanthus modestus,159806,species,non-infrataxon,no_voucher,secure,native,new,0.006,Tracheophyta
Carex pensylvanica,Carex pensylvanica,127326,species,non-infrataxon,voucher,unknown,unknown,unconfirmed,0.218,Tracheophyta
Ceanothus sanguineus,Ceanothus sanguineus,76197,species,non-infrataxon,no_voucher,secure,native,new,0.018,Tracheophyta
Centaurium erythraea,Centaurium erythraea,56236,species,non-infrataxon,no_voucher,unknown,exotic,new,0.024,Tracheophyta
Cirsium brevistylum,Cirsium brevistylum,52993,species,non-infrataxon,no_voucher,secure,native,new,0.012,Tracheophyta
Clarkia amoena ssp. caurina,Clarkia amoena caurina,235283,subspecies,infrataxon,no_voucher,concern,native,new,0.024,Tracheophyta
Clarkia amoena ssp. lindleyi,Clarkia amoena lindleyi,235285,subspecies,infrataxon,no_voucher,concern,native,new,0.024,Tracheophyta
Claytonia washingtoniana,Claytonia washingtoniana,76392,species,non-infrataxon,no_voucher,concern,native,new,0.03,Tracheophyta
Corylus avellana,Corylus avellana,54491,species,non-infrataxon,no_voucher,unknown,exotic,new,0,Tracheophyta
Cotoneaster qungbixiensis,Cotoneaster qungbixiensis,993678,species,non-infrataxon,voucher,unknown,unknown,new,0.108,Tracheophyta
Cytisus procumbens,Cytisus procumbens,897622,species,non-infrataxon,voucher,unknown,exotic,new,0.048,Tracheophyta
Diplotaxis tenuifolia,Diplotaxis tenuifolia,76665,species,non-infrataxon,no_voucher,unknown,exotic,new,0.012,Tracheophyta
Fraxinus pennsylvanica,Fraxinus pennsylvanica,54808,species,non-infrataxon,voucher,unknown,exotic,new,0.047,Tracheophyta
Galium murale,Galium murale,59005,species,non-infrataxon,voucher,unknown,exotic,new,0.102,Tracheophyta
Glyceria occidentalis,Glyceria × occidentalis; Glyceria occidentalis,61060,,non-infrataxon,unknown; voucher,unknown,native,unconfirmed,0.422,Tracheophyta
Grindelia hirsutula var. hirsutula,Grindelia hirsutula,55364,species,non-infrataxon,no_voucher,concern,native,unknown,,Tracheophyta
Gymnocarpium disjunctum,Gymnocarpium disjunctum,120491,species,non-infrataxon,no_voucher,secure,native,new,0.018,Tracheophyta
Impatiens capensis,Impatiens capensis,47888,species,non-infrataxon,voucher,unknown,native,new,0.103,Tracheophyta
Ionopsidium acaule,Ionopsidium acaule,164074,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.072,Tracheophyta
Kalmia microphylla var. occidentalis,Kalmia microphylla; Kalmia microphylla occidentalis,67810,variety,non-infrataxon,no_voucher; unknown,secure,native,new,0.012,Tracheophyta
Lasthenia maritima,Lasthenia maritima,64253,species,non-infrataxon,no_voucher,concern,native,new,0.024,Tracheophyta
Lathyrus sylvestris,Lathyrus sylvestris,82740,species,non-infrataxon,no_voucher,unknown,exotic,new,0,Tracheophyta
Leontodon autumnalis,Scorzoneroides autumnalis,204167,species,non-infrataxon,no_voucher,unknown,exotic,new,0.024,Tracheophyta
Leptosiphon minimus,Leptosiphon minimus,77693,species,non-infrataxon,no_voucher,secure,native,new,0.012,Tracheophyta
Lupinus latifolius var. latifolius,Lupinus latifolius; Lupinus latifolius latifolius,67379,variety,non-infrataxon,voucher; unknown,secure,native,unconfirmed,0.55,Tracheophyta
Luzula comosa,Luzula comosa,57111,species,non-infrataxon,no_voucher,unknown,native,new,0,Tracheophyta
Lycopus europaeus,Lycopus europaeus,133036,species,non-infrataxon,no_voucher,unknown,exotic,new,0.006,Tracheophyta
Mentha suaveolens,Mentha suaveolens,77993,species,non-infrataxon,voucher,unknown,exotic,new,0.058,Tracheophyta
Menyanthes trifoliata,Menyanthes trifoliata,78016,species,non-infrataxon,no_voucher,secure,native,new,0.006,Tracheophyta
Micranthes ferruginea,Micranthes ferruginea,78024,species,non-infrataxon,no_voucher,secure,native,new,0.012,Tracheophyta
Myrica gale,Myrica gale,82203,species,non-infrataxon,no_voucher,secure,native,new,0,Tracheophyta
Oplopanax horridus,Oplopanax horridus,83914,species,non-infrataxon,no_voucher,secure,native,new,0,Tracheophyta
Orthilia secunda,Orthilia secunda,78288,species,non-infrataxon,no_voucher,secure,native,new,0.012,Tracheophyta
Phyllospadix torreyi,Phyllospadix torreyi,78562,species,non-infrataxon,no_voucher,secure,native,new,0.012,Tracheophyta
Pisum sativum,Pisum sativum,54522,species,non-infrataxon,voucher,unknown,exotic,new,0.024,Tracheophyta
Plagiobothrys figuratus var. figuratus,Plagiobothrys figuratus,166947,species,non-infrataxon,no_voucher,concern,native,new,0.012,Tracheophyta
Potamogeton robbinsii,Potamogeton robbinsii,78716,species,non-infrataxon,no_voucher,secure,native,new,0.006,Tracheophyta
Pseudognaphalium thermale,Pseudognaphalium thermale,78765,species,non-infrataxon,no_voucher,secure,native,new,0,Tracheophyta
Pseudosasa japonica,Pseudosasa japonica,167508,species,non-infrataxon,no_voucher,unknown,exotic,new,0.012,Tracheophyta
Pyrola picta ssp. dentata,Pyrola picta,62239,species,non-infrataxon,no_voucher,secure,native,new,0.006,Tracheophyta
Ranunculus sardous,Ranunculus sardous,78832,species,non-infrataxon,no_voucher,unknown,exotic,new,0.018,Tracheophyta
Ribes lacustre,Ribes lacustre,78858,species,non-infrataxon,voucher,secure,native,confirmed,0.012,Tracheophyta
Romanzoffia sitchensis,Romanzoffia sitchensis,78872,species,non-infrataxon,no_voucher,secure,native,new,0.006,Tracheophyta
Sabulina rubella,Sabulina rubella,836893,species,non-infrataxon,no_voucher,secure,native,new,0.018,Tracheophyta
Sagina maxima ssp. maxima,Sagina maxima maxima,238339,subspecies,infrataxon,no_voucher,secure,native,new,0.03,Tracheophyta
Schoenoplectus subterminalis,Schoenoplectus subterminalis,78997,species,non-infrataxon,no_voucher,secure,native,new,0.024,Tracheophyta
Sedum divergens,Sedum divergens,61155,species,non-infrataxon,no_voucher,secure,native,new,0,Tracheophyta
Sisyrinchium idahoense var. idahoense,Sisyrinchium idahoense idahoense,81372,variety,infrataxon,no_voucher,concern,native,new,0.018,Tracheophyta
Sonchus arvensis,Sonchus arvensis,79156,species,non-infrataxon,no_voucher,unknown,exotic,new,0.032,Tracheophyta
Sonchus arvensis ssp. arvensis,Sonchus arvensis arvensis,80219,subspecies,infrataxon,no_voucher,unknown,exotic,new,0.036,Tracheophyta
Stellaria neglecta,Stellaria neglecta,79204,species,non-infrataxon,voucher,unknown,exotic,new,0.044,Tracheophyta
Taxus cuspidata,Taxus cuspidata,133386,species,non-infrataxon,voucher,unknown,exotic,unconfirmed,0.186,Tracheophyta
Tiarella trifoliata var. laciniata,Tiarella trifoliata laciniata,51650,variety,infrataxon,no_voucher,secure,native,new,0.006,Tracheophyta
Torilis arvensis ssp. arvensis,Torilis arvensis,56846,species,non-infrataxon,no_voucher,unknown,exotic,new,0.006,Tracheophyta
Typha glauca,Typha × glauca,181686,hybrid,non-infrataxon,no_voucher,unknown,unknown,new,0.024,Tracheophyta
Vaccinium uliginosum,Vaccinium uliginosum,64714,species,non-infrataxon,no_voucher,secure,native,unconfirmed,0.305,Tracheophyta
Valerianella locusta,Valerianella locusta,55752,species,non-infrataxon,no_voucher,unknown,exotic,new,0.006,Tracheophyta
Viburnum opulus,Viburnum opulus,55969,species,non-infrataxon,no_voucher,unknown,native,new,0.018,Tracheophyta
Viola palustris,Viola palustris,79514,species,non-infrataxon,no_voucher,secure,native,new,0.018,Tracheophyta
Wolffia brasiliensis,Wolffia brasiliensis,79527,species,non-infrataxon,no_voucher,unknown,exotic,new,0.018,Tracheophyta
Abies amabilis,Abies amabilis,75240,species,non-infrataxon,voucher,secure,native,unconfirmed,0.405,Tracheophyta
Acer pseudoplatanus,Acer pseudoplatanus,119791,species,non-infrataxon,no_voucher,unknown,exotic,new,0,Tracheophyta
Achnatherum nelsonii,Eriocoma nelsonii,1221562,species,non-infrataxon,voucher,unknown,native,unconfirmed,0.613,Tracheophyta
Achnatherum nelsonii ssp. dorei,Eriocoma nelsonii dorei,1221728,subspecies,infrataxon,voucher,unknown,native,unconfirmed,0.831,Tracheophyta
Adiantum aleuticum var. aleuticum,Adiantum pedatum; Adiantum aleuticum; Adiantum aleuticum aleuticum,48435; 52667; 947668,variety,non-infrataxon,voucher; no_voucher,secure,native,confirmed,0,Tracheophyta
Aegopodium podagraria,Aegopodium podagraria,51741,species,non-infrataxon,no_voucher,unknown,exotic,new,0,Tracheophyta
Agrostis capillaris,Agrostis capillaris,75312,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Agrostis oregonensis,Agrostis oregonensis,75318,species,non-infrataxon,voucher,secure,native,unconfirmed,0.259,Tracheophyta
Ailanthus altissima,Ailanthus altissima,57278,species,non-infrataxon,no_voucher,unknown,exotic,new,0,Tracheophyta
Alisma plantago-aquatica,Alisma plantago-aquatica,60253,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.006,Tracheophyta
Alnus viridis ssp. sinuata,Alnus alnobetula sinuata,939032,subspecies,non-infrataxon,voucher,secure,native,confirmed,0.037,Tracheophyta
Alopecurus aequalis var. aequalis,Alopecurus aequalis,75381,species,non-infrataxon,voucher,secure,native,unconfirmed,0.974,Tracheophyta
Amaranthus albus,Amaranthus albus,57893,species,non-infrataxon,voucher,unknown,exotic,unconfirmed,0.652,Tracheophyta
Amaranthus blitoides,Amaranthus blitoides,58774,species,non-infrataxon,voucher,unknown,exotic,unconfirmed,0.488,Tracheophyta
Amaranthus powellii,Amaranthus powellii,75398,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.114,Tracheophyta
Amsinckia intermedia,Amsinckia menziesii intermedia,49141,species,non-infrataxon,voucher,unknown,native,confirmed,0.161,Tracheophyta
Anchusa officinalis,Anchusa officinalis,75430,species,non-infrataxon,voucher,unknown,exotic,unconfirmed,0.439,Tracheophyta
Anemone lyallii,Anemonoides grayi,950609,species,non-infrataxon,no_voucher,secure,native,new,0,Tracheophyta
Anemone nemorosa,Anemonoides nemorosa,950603,species,non-infrataxon,no_voucher,unknown,exotic,new,0,Tracheophyta
Angelica genuflexa,Angelica genuflexa,75450,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Angelica lucida,Angelica lucida,75453,species,non-infrataxon,no_voucher,secure,native,new,0,Tracheophyta
Antennaria racemosa,Antennaria racemosa,75469,species,non-infrataxon,voucher,secure,native,unconfirmed,0.289,Tracheophyta
Anthoxanthum aristatum ssp. aristatum,Anthoxanthum aristatum aristatum; Anthoxanthum aristatum,75472,subspecies,non-infrataxon,unknown; voucher,unknown,exotic,confirmed,0.006,Tracheophyta
Aphanes arvensis,Alchemilla arvensis,866483,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Aphanes occidentalis,Alchemilla occidentalis,1452907,species,non-infrataxon,no_voucher,unknown,native,new,0,Tracheophyta
Apocynum cannabinum,Apocynum cannabinum,58795,species,non-infrataxon,voucher,secure,native,unconfirmed,0.521,Tracheophyta
Arctium lappa,Arctium lappa,75501,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.012,Tracheophyta
Armeria maritima ssp. sibirica,Armeria maritima sibirica,234429,subspecies,infrataxon,voucher,unknown,exotic,confirmed,0.012,Tracheophyta
Artemisia biennis,Artemisia biennis,58798,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.096,Tracheophyta
Artemisia vulgaris,Artemisia vulgaris,52856,species,non-infrataxon,no_voucher,unknown,exotic,new,0.013,Tracheophyta
Aruncus dioicus var. acuminatus,Aruncus dioicus acuminatus; Aruncus dioicus,75600,variety,non-infrataxon,unknown; no_voucher,secure,native,new,0.019,Tracheophyta
Asarum caudatum,Asarum caudatum,52858,species,non-infrataxon,voucher,secure,native,confirmed,0.006,Tracheophyta
Asplenium trichomanes,Asplenium trichomanes,75609,species,non-infrataxon,voucher,unknown,native,confirmed,0.006,Tracheophyta
Atocion armeria,Atocion armeria,204246,species,non-infrataxon,voucher,unknown,exotic,new,0.006,Tracheophyta
Atriplex dioica,Atriplex dioica,75701,species,non-infrataxon,voucher,secure,native,unconfirmed,0.276,Tracheophyta
Atriplex patula,Atriplex patula,60175,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.012,Tracheophyta
Avena sativa,Avena sativa,57156,species,non-infrataxon,voucher,unknown,exotic,new,0.006,Tracheophyta
Azolla caroliniana,Azolla caroliniana,68866,species,non-infrataxon,voucher,unknown,exotic,unconfirmed,0.156,Tracheophyta
Azolla filiculoides,Azolla filiculoides,58754,species,non-infrataxon,no_voucher,secure,exotic,new,0,Tracheophyta
Barbarea verna,Barbarea verna,71136,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.006,Tracheophyta
Betula pendula,Betula pendula,83992,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.014,Tracheophyta
Betula pubescens ssp. pubescens,Betula pubescens,119061,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.006,Tracheophyta
Betula pumila,Betula pumila,,species,non-infrataxon,voucher,secure,native,unconfirmed,0.336,Tracheophyta
Boykinia occidentalis,Boykinia occidentalis,68213,species,non-infrataxon,voucher,secure,native,confirmed,0.012,Tracheophyta
Brassica rapa var. rapa,Brassica rapa oleifera,53271,subspecies,infrataxon,no_voucher,unknown,exotic,confirmed,0.243,Tracheophyta
Briza maxima,Briza maxima,57157,species,non-infrataxon,voucher,unknown,exotic,new,0.018,Tracheophyta
Briza minor,Briza minor,57162,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.006,Tracheophyta
Brodiaea rosea var. rosea,Brodiaea rosea rosea; Brodiaea rosea; Brodiaea coronaria rosea,1426020; 1426019,variety,non-infrataxon,no_voucher; voucher; unknown,concern,native,confirmed,0.006,Tracheophyta
Bromus commutatus,Bromus commutatus,75900,species,non-infrataxon,voucher,unknown,exotic,unconfirmed,0.288,Tracheophyta
Bromus hordeaceus,Bromus hordeaceus hordeaceus,52717; 52703,subspecies,infrataxon,voucher,unknown,exotic,confirmed,0.019,Tracheophyta
Bromus inermis ssp. thominii,Bromus inermis,75903,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.018,Tracheophyta
Calamagrostis canadensis,Calamagrostis canadensis,75925,species,non-infrataxon,voucher,secure,native,confirmed,0.043,Tracheophyta
Calamagrostis stricta ssp. inexpansa,Calamagrostis stricta; Calamagrostis inexpansa,75930; 140213,subspecies,non-infrataxon,no_voucher; voucher,secure,native,confirmed,0.066,Tracheophyta
Calandrinia ciliata,Calandrinia ciliata; Calandrinia menziesii,489239; 400267,,non-infrataxon,voucher; no_voucher,concern,native,confirmed,0,Tracheophyta
Callitriche heterophylla var. bolanderi,Callitriche heterophylla; Callitriche heterophylla bolanderi,75935,variety,non-infrataxon,voucher; unknown,secure,native,unconfirmed,0.245,Tracheophyta
Callitriche palustris,Callitriche palustris,75937,species,non-infrataxon,voucher,secure,native,confirmed,0.031,Tracheophyta
Callitriche stagnalis,Callitriche stagnalis,75938,species,non-infrataxon,voucher,unknown,exotic,new,0,Tracheophyta
Caltha palustris,Caltha palustris,56224,species,non-infrataxon,no_voucher,unknown,native,new,0,Tracheophyta
Camassia quamash ssp. maxima,Camassia quamash maxima,234790,subspecies,infrataxon,voucher,secure,native,new,0,Tracheophyta
Campanula rotundifolia,Campanula rotundifolia,62312,species,non-infrataxon,voucher,secure,native,unconfirmed,0.259,Tracheophyta
Cardamine corymbosa,Cardamine corymbosa,159833,species,non-infrataxon,voucher,unknown,exotic,new,0.078,Tracheophyta
Cardamine flexuosa,Cardamine flexuosa,69636,species,non-infrataxon,voucher,unknown,exotic,new,0.006,Tracheophyta
Cardamine occidentalis,Cardamine occidentalis,76003,species,non-infrataxon,voucher,secure,native,unconfirmed,0.211,Tracheophyta
Cardamine occulta,Cardamine occulta,545305,species,non-infrataxon,voucher,unknown,exotic,new,0.108,Tracheophyta
Cardamine pratensis,Cardamine pratensis,54531,species,non-infrataxon,voucher,unknown,native,confirmed,0.025,Tracheophyta
Carex aquatilis var. dives,Carex aquatilis; Carex aquatilis dives,76013; 80511,variety,non-infrataxon,voucher,unknown,native,unconfirmed,0.489,Tracheophyta
Carex canescens ssp. canescens,Carex canescens; Carex canescens canescens,76023,subspecies,non-infrataxon,voucher; unknown,secure,native,unconfirmed,0.278,Tracheophyta
Carex echinata,Carex echinata,76035,species,non-infrataxon,voucher,unknown,native,confirmed,0.006,Tracheophyta
Carex echinata ssp. phyllomanica,Carex echinata phyllomanica,79676,species,infrataxon,voucher,secure,native,unconfirmed,0.487,Tracheophyta
Carex hendersonii,Carex hendersonii,76048,species,non-infrataxon,voucher,secure,native,confirmed,0.013,Tracheophyta
Carex inops ssp. inops,Carex inops inops,79677,subspecies,infrataxon,voucher,secure,native,unconfirmed,0.491,Tracheophyta
Carex laeviculmis,Carex laeviculmis,76062,species,non-infrataxon,voucher,secure,native,unconfirmed,0.382,Tracheophyta
Carex leptalea,Carex leptalea,76069,species,non-infrataxon,voucher,secure,native,unconfirmed,0.533,Tracheophyta
Carex leptopoda,Carex leptopoda,76070,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Carex pansa,Carex pansa,76090,species,non-infrataxon,voucher,concern,native,confirmed,0.101,Tracheophyta
Carex praticola,Carex praticola,76095,species,non-infrataxon,voucher,secure,native,unconfirmed,0.36,Tracheophyta
Carex rossii,Carex rossii,76099,species,non-infrataxon,voucher,secure,native,confirmed,0.036,Tracheophyta
Carex scoparia,Carex scoparia,76104,species,non-infrataxon,voucher,secure,native,unconfirmed,0.278,Tracheophyta
Carex stipata var. stipata,Carex stipata,76114,species,non-infrataxon,voucher,secure,native,confirmed,0.006,Tracheophyta
Carex zikae,Carex zikae; Carex brevicaulis,494319,,non-infrataxon,unknown; voucher,secure,native,confirmed,0.152,Tracheophyta
Ceratophyllum echinatum,Ceratophyllum echinatum,160354,species,non-infrataxon,voucher,secure,native,unconfirmed,0.413,Tracheophyta
Chenopodiastrum murale,Chenopodiastrum murale,514012,species,non-infrataxon,voucher,unknown,exotic,new,0.092,Tracheophyta
Cichorium intybus,Cichorium intybus,52913,species,non-infrataxon,no_voucher,unknown,exotic,new,0.036,Tracheophyta
Cirsium edule var. macounii,Cirsium edule macounii; Cirsium edule,143675,variety,non-infrataxon,unknown; voucher,secure,native,unconfirmed,0.305,Tracheophyta
Cistus creticus,Cistus creticus,64318,species,non-infrataxon,voucher,unknown,exotic,new,0.064,Tracheophyta
Clarkia quadrivulnera,Clarkia purpurea quadrivulnera; Clarkia purpurea,57146; 51087,,non-infrataxon,voucher; no_voucher,concern,native,new,0.006,Tracheophyta
Clematis vitalba,Clematis vitalba,160697,species,non-infrataxon,no_voucher,unknown,exotic,new,0,Tracheophyta
Conyza canadensis,Erigeron canadensis,76907,species,non-infrataxon,no_voucher,secure,exotic,new,0.006,Tracheophyta
Corallorhiza maculata var. maculata,Corallorhiza maculata maculata,80614,variety,infrataxon,no_voucher,concern,native,new,0.02,Tracheophyta
Corallorhiza maculata var. occidentalis,Corallorhiza maculata occidentalis,80615,variety,infrataxon,no_voucher,secure,native,new,0.007,Tracheophyta
Corallorhiza maculata var. ozettensis,Corallorhiza maculata ozettensis,452199,variety,infrataxon,no_voucher,unknown,native,new,0.006,Tracheophyta
Cotoneaster dielsianus,Cotoneaster dielsianus,498529,species,non-infrataxon,voucher,unknown,exotic,new,0.103,Tracheophyta
Cotoneaster horizontalis,Cotoneaster horizontalis,53771,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Cotoneaster rehderi,Cotoneaster rehderi,160951,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.114,Tracheophyta
Cotoneaster simonsii,Cotoneaster simonsii,76461,species,non-infrataxon,voucher,unknown,exotic,new,0,Tracheophyta
Crassula aquatica,Crassula aquatica,58135,species,non-infrataxon,voucher,secure,native,unconfirmed,0.199,Tracheophyta
Cuscuta cephalanthi,Cuscuta cephalanthi,52727,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.158,Tracheophyta
Cuscuta pacifica var. pacifica,Cuscuta pacifica pacifica; Cuscuta pacifica,80645; 76553,variety,non-infrataxon,voucher; no_voucher,secure,native,confirmed,0.008,Tracheophyta
Cymbalaria muralis ssp. muralis,Cymbalaria muralis,55727,species,non-infrataxon,no_voucher,unknown,exotic,new,0,Tracheophyta
Danthonia unispicata,Danthonia unispicata,76605,species,non-infrataxon,voucher,secure,native,unconfirmed,0.264,Tracheophyta
Datura stramonium,Datura stramonium,55854,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.006,Tracheophyta
Deschampsia cespitosa,Deschampsia cespitosa holciformis; Deschampsia cespitosa,76639; 61833,,non-infrataxon,voucher,unknown,native,confirmed,0.013,Tracheophyta
Descurainia sophia,Descurainia sophia,58074,species,non-infrataxon,voucher,unknown,exotic,unknown,,Tracheophyta
Dichanthelium acuminatum var. fasciculatum,Dichanthelium lanuginosum; Dichanthelium acuminatum,148953,variety,non-infrataxon,voucher; unknown,secure,native,unconfirmed,0.211,Tracheophyta
Dichanthelium oligosanthes ssp. scribnerianum,Dichanthelium scribnerianum,1412639,variety,non-infrataxon,voucher,unknown,native,unconfirmed,0.235,Tracheophyta
Doronicum pardalianches,Doronicum pardalianches,61521,species,non-infrataxon,no_voucher,unknown,exotic,new,0.006,Tracheophyta
Drosera rotundifolia,Drosera rotundifolia,52658,species,non-infrataxon,voucher,secure,native,confirmed,0.013,Tracheophyta
Egeria densa,Egeria densa; Elodea densa,1555600,,non-infrataxon,unknown; voucher,unknown,exotic,confirmed,0.045,Tracheophyta
Eleocharis macrostachya,Eleocharis macrostachya,59064,species,non-infrataxon,voucher,secure,native,unconfirmed,0.396,Tracheophyta
Eleocharis obtusa,Eleocharis obtusa,76779,species,non-infrataxon,voucher,secure,native,confirmed,0.128,Tracheophyta
Elymus hirsutus,Elymus hirsutus,162281,species,non-infrataxon,voucher,secure,native,unconfirmed,0.534,Tracheophyta
Elymus trachycaulus,Elymus trachycaulus,61202,species,non-infrataxon,voucher,unknown,native,confirmed,0.025,Tracheophyta
Elymus trachycaulus ssp. trachycaulus,Elymus trachycaulus trachycaulus,636557,subspecies,infrataxon,voucher,secure,native,unconfirmed,0.336,Tracheophyta
Epilobium ciliatum,Epilobium ciliatum,53050,species,non-infrataxon,no_voucher,unknown,native,new,0,Tracheophyta
Epilobium obscurum,Epilobium obscurum,162366,species,non-infrataxon,voucher,unknown,exotic,new,0.101,Tracheophyta
Epilobium tetragonum ssp. tetragonum,Epilobium tetragonum,56622,species,non-infrataxon,voucher,unknown,exotic,new,0.101,Tracheophyta
Epilobium torreyi,Epilobium torreyi,58949,species,non-infrataxon,voucher,unknown,native,unconfirmed,0.373,Tracheophyta
Eruca vesicaria ssp. sativa,Eruca vesicaria,77058,species,non-infrataxon,no_voucher,unknown,exotic,new,0.025,Tracheophyta
Erythranthe moschata,Erythranthe moschata,453644,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Erythranthe ptilota,Erythranthe ptilota,771908,species,non-infrataxon,no_voucher,secure,native,new,0.012,Tracheophyta
Erythronium revolutum,Erythronium revolutum,77081,species,non-infrataxon,no_voucher,secure,native,new,0,Tracheophyta
Euphorbia helioscopia,Euphorbia helioscopia,56292,species,non-infrataxon,voucher,unknown,exotic,new,0.031,Tracheophyta
Euphorbia lathyris,Euphorbia lathyris,77114,species,non-infrataxon,no_voucher,unknown,exotic,new,0.006,Tracheophyta
Euphorbia myrsinites,Euphorbia myrsinites,82511,species,non-infrataxon,no_voucher,unknown,exotic,new,0,Tracheophyta
Eurybia radulina,Eurybia radulina,52974,species,non-infrataxon,voucher,concern,native,confirmed,0.012,Tracheophyta
Fallopia bohemica,Reynoutria × bohemica,850784,hybrid,non-infrataxon,no_voucher,unknown,exotic,new,0.019,Tracheophyta
Fallopia convolvulus,Fallopia convolvulus,77129,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.018,Tracheophyta
Fallopia japonica,Reynoutria japonica,914922,species,non-infrataxon,no_voucher,unknown,exotic,new,0.006,Tracheophyta
Fallopia sachalinensis,Reynoutria sachalinensis,593040,species,non-infrataxon,voucher,unknown,exotic,new,0.012,Tracheophyta
Festuca ammobia,Festuca ammobia,181756,species,non-infrataxon,voucher,unknown,native,confirmed,0.019,Tracheophyta
Festuca roemeri var. roemeri,Festuca roemeri,162962,species,non-infrataxon,voucher,secure,native,confirmed,0.006,Tracheophyta
Festuca subulata,Festuca subulata,77145,species,non-infrataxon,voucher,secure,native,unconfirmed,0.274,Tracheophyta
Festuca trachyphylla,Festuca trachyphylla,77148,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.096,Tracheophyta
Filago vulgaris,Filago vulgaris; Filago germanica,634625,,non-infrataxon,unknown; voucher,unknown,exotic,new,0.03,Tracheophyta
Fragaria virginiana ssp. platypetala,Fragaria virginiana platypetala,236060,subspecies,infrataxon,voucher,secure,native,confirmed,0.012,Tracheophyta
