scientificName,link_name,link_taxon_id,taxon_rank,infrataxon_status,provenance_status,provincial_concern,introduction_status,reportingStatus,solow_EP,phylum
Cardamine breweri,Cardamine breweri,76000,species,non-infrataxon,no_voucher,secure,native,unknown,,Tracheophyta
Carex pellita,Carex pellita,76091,species,non-infrataxon,no_voucher,secure,native,new,0.012,Tracheophyta
Crataegus laevigata,Crataegus laevigata,54428,species,non-infrataxon,no_voucher,unknown,exotic,unknown,,Tracheophyta
Danthonia spicata,Danthonia spicata,130174,species,non-infrataxon,no_voucher,secure,native,unknown,,Tracheophyta
Erigeron philadelphicus,Erigeron philadelphicus,67820,species,non-infrataxon,no_voucher,unknown,native,unknown,,Tracheophyta
Fragaria × ananassa,Fragaria × ananassa,55366,hybrid,non-infrataxon,no_voucher,unknown,unknown,unknown,,Tracheophyta
Halerpestes cymbalaria,Halerpestes cymbalaria,941891,species,non-infrataxon,no_voucher,secure,native,unknown,,Tracheophyta
Lemna trisulca,Lemna trisulca,77655,species,non-infrataxon,no_voucher,secure,native,unknown,,Tracheophyta
Leymus vancouverensis,Leymus × vancouverensis,170839,hybrid,non-infrataxon,no_voucher,unknown,native,new,0.018,Tracheophyta
Mentha piperita,Mentha × piperita,181525,hybrid,non-infrataxon,no_voucher,unknown,native,unknown,,Tracheophyta
Prunus mahaleb,Prunus mahaleb,126808,species,non-infrataxon,no_voucher,unknown,exotic,unknown,,Tracheophyta
Scirpus cyperinus,Scirpus cyperinus,79002,species,non-infrataxon,no_voucher,unknown,native,unknown,,Tracheophyta
Actaea rubra,Actaea rubra,49870,species,non-infrataxon,no_voucher,secure,native,new,0.012,Tracheophyta
Alchemilla microcarpa,Alchemilla microcarpa,1363872,species,non-infrataxon,voucher,unknown,exotic,unconfirmed,0.283,Tracheophyta
Anthemis arvensis,Anthemis arvensis,52838,species,non-infrataxon,no_voucher,unknown,exotic,new,0.036,Tracheophyta
Arceuthobium tsugense ssp. contortae,Arceuthobium tsugense contortae,234332,subspecies,non-infrataxon,no_voucher,secure,native,new,0.006,Tracheophyta
