scientificName,link_name,link_taxon_id,taxon_rank,infrataxon_status,provenance_status,provincial_concern,introduction_status,reportingStatus,solow_EP,phylum,iNaturalistTaxonId,iNaturalistTaxonName,kingdom,subphylum,class,subclass,superorder,order,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety,nameStatus,inSummary
Viola nuttallii var. praemorsa,Viola praemorsa,79516,species,non-infrataxon,voucher,unknown,native,confirmed,0,Tracheophyta,80276,Viola praemorsa praemorsa,Plantae,Angiospermae,Magnoliopsida,"",,Malpighiales,,,Violaceae,"","",Viola,praemorsa,"",Viola praemorsa praemorsa,unaccepted,1
Viola praemorsa var. praemorsa,Viola praemorsa praemorsa,80276,subspecies,non-infrataxon,voucher,concern,native,confirmed,0,Tracheophyta,80276,Viola praemorsa praemorsa,Plantae,Angiospermae,Magnoliopsida,"",,Malpighiales,,,Violaceae,"","",Viola,praemorsa,"",Viola praemorsa praemorsa,accepted,1
