"scientificName","linkName","linkTaxonID","taxonRank","reportingStatus","direct_solow_pp","phylum"
Abies amabilis,Abies amabilis,75240,species,confirmed,1,Tracheophyta
Abies grandis,Abies grandis,63690,species,confirmed,,Tracheophyta
Abronia latifolia,Abronia latifolia,52618,species,confirmed,1,Tracheophyta
Abutilon theophrasti,Abutilon theophrasti,60214,species,new,0.985611510791367,Tracheophyta
Acer glabrum var. douglasii,Acer glabrum douglasii; Acer glabrum,181694; 63078,variety,confirmed,1,Tracheophyta
Acer macrophyllum,Acer macrophyllum,48227,species,confirmed,1,Tracheophyta
Acer pseudoplatanus,Acer pseudoplatanus,119791,species,new,1,Tracheophyta
Achillea filipendulina,Achillea filipendulina,157924,species,new,1,Tracheophyta
Achillea millefolium complex,Achillea millefolium,52821,complex,confirmed,1,Tracheophyta
Achlys triphylla,Achlys triphylla,75263,species,confirmed,1,Tracheophyta
Achnatherum lemmonii ssp. lemmonii,Eriocoma lemmonii lemmonii; Eriocoma lemmonii,1220756; 1220721,subspecies,confirmed,1,Tracheophyta
Achnatherum nelsonii,Eriocoma nelsonii,1221562,subspecies,confirmed,0.977272727272727,Tracheophyta
Achnatherum nelsonii ssp. dorei,Eriocoma nelsonii dorei,1221728,subspecies,unconfirmed,0.08,Tracheophyta
Achnatherum nelsonii ssp. nelsonii,Eriocoma nelsonii nelsonii,,subspecies,unconfirmed,-0.079136690647482,Tracheophyta
Acmispon americanus var. americanus,Acmispon americanus americanus; Acmispon americanus,57053; 57049,variety,confirmed,-17.8867924528302,Tracheophyta
Acmispon denticulatus,Acmispon denticulatus,60194,species,confirmed,0.999501992031873,Tracheophyta
Acmispon parviflorus,Acmispon parviflorus,57048,species,confirmed,1,Tracheophyta
Actaea rubra,Actaea rubra,49870,species,new,0.875,Tracheophyta
Adenocaulon bicolor,Adenocaulon bicolor,56854,species,confirmed,1,Tracheophyta
Adiantum aleuticum var. aleuticum,Adiantum pedatum; Adiantum aleuticum; Adiantum aleuticum aleuticum,48435; 52667; 947668,variety,confirmed,1,Tracheophyta
Aegopodium podagraria,Aegopodium podagraria,51741,species,new,1,Tracheophyta
Aesculus hippocastanum,Aesculus hippocastanum,84298,species,new,1,Tracheophyta
Agoseris grandiflora var. leptophylla,Agoseris grandiflora leptophylla; Agoseris grandiflora,52828,variety,confirmed,1,Tracheophyta
Agoseris heterophylla var. heterophylla,Agoseris heterophylla,56856,species,confirmed,,Tracheophyta
Agropyron cristatum ssp. pectinatum,Agropyron cristatum,75309,subspecies,unconfirmed,0.381294964028777,Tracheophyta
Agrostis capillaris,Agrostis capillaris,75312,species,confirmed,1,Tracheophyta
Agrostis exarata,Agrostis exarata,59088,species,confirmed,0.992424242424243,Tracheophyta
Agrostis gigantea,Agrostis gigantea,75314,species,confirmed,1,Tracheophyta
Agrostis idahoensis,Agrostis idahoensis,,,unconfirmed,0.251798561151079,Tracheophyta
Agrostis microphylla,Agrostis microphylla,60277,species,confirmed,0.992424242424243,Tracheophyta
Agrostis oregonensis,Agrostis oregonensis,75318,species,unconfirmed,0.423529411764706,Tracheophyta
Agrostis pallens,Agrostis pallens,52692,species,confirmed,0.76271186440678,Tracheophyta
Agrostis scabra,Agrostis scabra,75319,species,confirmed,0.992248062015504,Tracheophyta
Agrostis stolonifera,Agrostis stolonifera,69931,species,confirmed,1,Tracheophyta
Ailanthus altissima,Ailanthus altissima,57278,species,new,1,Tracheophyta
Aira caryophyllea,Aira caryophyllea,52694,species,confirmed,,Tracheophyta
Aira praecox,Aira praecox,61058,species,confirmed,,Tracheophyta
Alchemilla microcarpa,Alchemilla microcarpa,1363872,species,unconfirmed,0.661870503597122,Tracheophyta
Alisma plantago-aquatica,Alisma plantago-aquatica,60253,species,confirmed,1,Tracheophyta
Alisma triviale,Alisma triviale,61167,species,new,0.875,Tracheophyta
Alliaria petiolata,Alliaria petiolata,56061,species,confirmed,1,Tracheophyta
Allium acuminatum,Allium acuminatum,59782,species,confirmed,1,Tracheophyta
Allium amplectens,Allium amplectens,60267,species,confirmed,-30.7619047619048,Tracheophyta
Allium cernuum,Allium cernuum,116364,species,confirmed,1,Tracheophyta
Allium geyeri var. tenerum,Allium geyeri tenerum; Allium geyeri,239144; 148938,variety,confirmed,0.990990990990991,Tracheophyta
Allium schoenoprasum,Allium schoenoprasum,59254,species,new,1,Tracheophyta
Allium triquetrum,Allium triquetrum,55505,species,new,1,Tracheophyta
Allium vineale,Allium vineale,75371,complex,confirmed,,Tracheophyta
Allotropa virgata,Allotropa virgata,62481,species,confirmed,0.982142857142857,Tracheophyta
Alnus rubra,Alnus rubra,56034,species,confirmed,1,Tracheophyta
Alnus viridis ssp. sinuata,Alnus alnobetula sinuata,939032,subspecies,confirmed,0.948717948717949,Tracheophyta
Alopecurus aequalis var. aequalis,Alopecurus aequalis,75381,species,confirmed,0.976744186046512,Tracheophyta
Alopecurus carolinianus,Alopecurus carolinianus,75382,species,confirmed,0.984375,Tracheophyta
Alopecurus geniculatus,Alopecurus geniculatus,71140,species,confirmed,0.992424242424243,Tracheophyta
Alopecurus pratensis,Alopecurus pratensis,71141,species,confirmed,,Tracheophyta
Alopecurus saccatus,Alopecurus saccatus,,,,,Tracheophyta
Amaranthus albus,Amaranthus albus,57893,species,confirmed,0.972477064220183,Tracheophyta
Amaranthus blitoides,Amaranthus blitoides,58774,species,confirmed,0.964285714285714,Tracheophyta
Amaranthus powellii,Amaranthus powellii,75398,species,confirmed,0.973214285714286,Tracheophyta
Amaranthus retroflexus,Amaranthus retroflexus,58776,species,confirmed,0.985714285714286,Tracheophyta
Ambrosia chamissonis,Ambrosia chamissonis,71135,species,confirmed,1,Tracheophyta
Amelanchier alnifolia var. semiintegrifolia,Amelanchier alnifolia semiintegrifolia; Amelanchier alnifolia alnifolia; Amelanchier alnifolia,239166; 75415,variety,confirmed,1,Tracheophyta
Amelanchier cusickii,Amelanchier cusickii,363448,species,new,1,Tracheophyta
Ammophila arenaria ssp. arenaria,Ammophila arenaria; Calamagrostis arenaria,942779,subspecies,confirmed,0.988372093023256,Tracheophyta
Amsinckia intermedia,Amsinckia menziesii intermedia,49141,species,confirmed,0.957264957264957,Tracheophyta
Amsinckia menziesii var. menziesii,Amsinckia menziesii,55436,species,confirmed,1,Tracheophyta
Amsinckia spectabilis,Amsinckia spectabilis,71045,species,new,0.985611510791367,Tracheophyta
Anaphalis margaritacea,Anaphalis margaritacea,52833,species,confirmed,1,Tracheophyta
Anchusa officinalis,Anchusa officinalis,75430,species,unconfirmed,0.352517985611511,Tracheophyta
Anemone apennina,Anemonoides apennina,950619,species,new,1,Tracheophyta
Anemone lyallii,Anemonoides grayi,950609,species,new,1,Tracheophyta
Anemone nemorosa,Anemonoides nemorosa,950603,species,new,1,Tracheophyta
Angelica genuflexa,Angelica genuflexa,75450,species,confirmed,1,Tracheophyta
Angelica lucida,Angelica lucida,75453,species,new,1,Tracheophyta
Anisocarpus madioides,Anisocarpus madioides,53137,species,confirmed,1,Tracheophyta
Antennaria anaphaloides,Antennaria anaphaloides,,,,,Tracheophyta
Antennaria dimorpha,Antennaria dimorpha,75460,species,unconfirmed,0.460431654676259,Tracheophyta
Antennaria neglecta,Antennaria neglecta,,,unconfirmed,0.683453237410072,Tracheophyta
Antennaria racemosa,Antennaria racemosa,75469,species,unconfirmed,0.654676258992806,Tracheophyta
Anthemis arvensis,Anthemis arvensis,52838,species,new,0.5,Tracheophyta
Anthemis cotula,Anthemis cotula,52841,species,confirmed,0.972222222222222,Tracheophyta
Anthoxanthum aristatum ssp. aristatum,Anthoxanthum aristatum aristatum; Anthoxanthum aristatum,75472,subspecies,confirmed,0.983333333333333,Tracheophyta
Anthoxanthum odoratum,Anthoxanthum odoratum,75475,species,confirmed,,Tracheophyta
Anthriscus caucalis,Anthriscus caucalis,52846,species,confirmed,1,Tracheophyta
Aphanes arvensis,Alchemilla arvensis,866483,species,confirmed,1,Tracheophyta
Aphanes australis,Alchemilla australis,1363874,species,confirmed,1,Tracheophyta
Aphanes occidentalis,Alchemilla occidentalis,1452907,species,new,1,Tracheophyta
Aphyllon californicum ssp. californicum,Aphyllon californicum; Aphyllon californicum californicum,802458; 802465,subspecies,confirmed,1,Tracheophyta
Aphyllon purpureum,Aphyllon purpureum,739040,species,confirmed,1,Tracheophyta
Aphyllon uniflorum,Aphyllon uniflorum,802714,species,unconfirmed,0.241379310344828,Tracheophyta
Apocynum androsaemifolium,Apocynum androsaemifolium,47359,species,confirmed,1,Tracheophyta
Apocynum cannabinum,Apocynum cannabinum,58795,species,unconfirmed,0.20863309352518,Tracheophyta
Aquilegia formosa var. formosa,Aquilegia formosa,48244,species,confirmed,1,Tracheophyta
Arabidopsis thaliana,Arabidopsis thaliana,55021,species,confirmed,1,Tracheophyta
Arabis eschscholtziana,Arabis eschscholtziana,75494,species,confirmed,1,Tracheophyta
Arbutus menziesii,Arbutus menziesii,51046,species,confirmed,1,Tracheophyta
Arceuthobium americanum,Arceuthobium americanum,48935,species,unconfirmed,0.142857142857143,Tracheophyta
Arceuthobium tsugense ssp. contortae,Arceuthobium tsugense contortae,234332,subspecies,new,0.75,Tracheophyta
Arctium lappa,Arctium lappa,75501,species,confirmed,1,Tracheophyta
Arctium minus,Arctium minus,59570,species,confirmed,1,Tracheophyta
Arctostaphylos columbiana,Arctostaphylos columbiana,75505,species,confirmed,1,Tracheophyta
Arctostaphylos media,Arctostaphylos × media,181436,hybrid,new,0.97841726618705,Tracheophyta
Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,68049,species,confirmed,1,Tracheophyta
Arenaria serpyllifolia var. serpyllifolia,Arenaria serpyllifolia serpyllifolia; Arenaria serpyllifolia,80373; 75553,variety,confirmed,0.991071428571429,Tracheophyta
Argyrocytisus battandieri,Argyrocytisus battandieri,430682,species,unconfirmed,0.311111111111111,Tracheophyta
Armeria maritima,Armeria maritima,60476,species,confirmed,1,Tracheophyta
Armeria maritima ssp. californica,Armeria maritima californica,60739,subspecies,confirmed,0.984496124031008,Tracheophyta
Armeria maritima ssp. sibirica,Armeria maritima sibirica,234429,subspecies,confirmed,0.972602739726027,Tracheophyta
Arrhenatherum elatius,Arrhenatherum elatius,75583,species,confirmed,1,Tracheophyta
